,MSW__8,MSW__2,MSW__3,DDE_MW,MSW__6,Cougar__21,formula_H,MSW__9,Hopp_woods,Calculate_mw,DDE_IT,DDE_CF,DDE_WI,Ez__9,Ez__12,Z5__61,Length,MSW__17,MSW__22,Cougar__25,Cougar__24,Z3__6,MSW__11,DDE_ME,MSW__20,Ez__1,MSW__18,Boman_Index,QSO3_G2,QSO3_SC_L,DDE_PM,DDE_MP,Ez__14,DDE_NW,Aliphatic_Index,QSO3_SC_S,DDE_TM,DDE_EW,MSW__4,Cougar__23,DDE_AC,CTDD_polarizability.3.residue100,Z5__6,Ez__11,CTDD_normwaalsvolume.3.residue100,QSO3_SC2,QSO3_SC3,DDE_QC,OVPC_Aliphatic,MSW__19,MSW__5,DDE_CN,MSW__13,DDE_YL,DDE_PF,DDE_MH,DDE_MY,DDE_WD,DDE_HC,QSO3_G3,DDE_HI,DDE_YW,DDE_FA,DDE_MF,DDE_HR,DDE_HN,QSO3_SC1,DDE_CM,Cougar__6,MSW__10,DDE_WK,DDE_IH,QSO3_G1,DDE_WC,DDE_RQ,DDE_WL,DDE_FW,DDE_AH,DDE_CA,DDE_VW,DDE_WW,DDE_WS,DDE_CY,DDE_CW,DDE_WH,DDE_CK,DDE_MN,DDE_VY,DDE_TH,Ez__8,DDE_QW,DDE_CC,DDE_MC,DDE_HH,DDE_CQ,DDE_PW,DDE_AR,DDE_SM,DDE_YQ,DDE_WE,DDE_CR,DDE_WA,CTDD_hydrophobicity_PRAM900101.1.residue100,DDE_NA,DDE_WV,MSW__7,DDE_MK,DDE_CV,CTDD_hydrophobicity_PRAM900101.1.residue75,DDE_FI,DDE_WF,DDE_NM,Ez__10,DDE_LM,DDE_EL,DDE_DQ,DDE_TI,DDE_QG,DDE_HG,DDE_YG,DDE_CI,DDE_TQ,DDE_DH,DDE_YI,MSW__21,DDE_IM,DDE_DC,DDE_YE,MSW__14,Z5__31,DDE_AM,Ez__7,DDE_EQ,DDE_TP,DDE_YA,Ez__15,Z5__64,ABHPRK__56,DDE_NP,Cougar__22,DDE_ID,DDE_PY,DDE_DA,DDE_HA,DDE_PC,DDE_QI,MSW__12,DDE_MM,DDE_FQ,DDE_EH,y,MotifBitVec_FATP,MotifBitVec_AEEA,MotifBitVec_ALQP,MotifBitVec_AVI,MotifBitVec_LMK,MotifBitVec_SLADTN,MotifBitVec_VFGI,MotifBitVec_RLAE,MotifBitVec_LLD,MotifBitVec_IPRHL,MotifBitVec_ALAG
EpitopeID136090negative,1.023453190800129,-0.549077694829561,-0.31371950655643704,0.0,0.6726534068422169,1.301644332999948,0.42857142857142855,1.9312269275966714,-0.18109338089920315,0.23332509270704613,0.0,0.0,0.0,-1.0876985939800015,-1.94125517246204,-0.11472193380801574,0.0,0.9536931785562552,-0.37229945989197744,0.8331112022418155,1.1063043982962115,-1.481389022784456,-0.8980783939461625,0.0,0.10137275607180575,-0.38306266026694735,0.939740991326636,-1.3492537313432837,-0.779220779220779,0.7031958966265536,0.0,0.0,-1.7422868647597887,0.0,0.6520292747837656,0.0,0.0,0.0,-0.6344735818698954,0.8977505823453742,0.0,-0.24390243902439063,-1.3297122321893944,-1.6723711462509205,-0.24390243902439063,-0.779220779220779,-0.6106870229007635,0.0,0.6249999999999999,0.8220192988574988,-0.8747370499798225,0.0,-0.8668951630596409,0.0,958.4645623990926,0.0,0.0,0.0,0.0,-0.6106870229007635,0.0,0.0,0.0,0.0,0.0,0.0,-0.6452991452991456,0.0,1.4434018076547623,-0.11396810718014028,0.0,0.0,-0.6452991452991456,0.0,0.0,1277.9527498654513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.614470160160557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2972972972972971,0.0,0.0,-0.0866680180938104,0.0,0.0,-0.8648648648648649,1277.9527498654513,0.0,0.0,-0.9450880504771016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2429052472197754,0.0,0.0,0.0,-0.6407384360091268,0.9297519550670503,0.0,-1.5134466175312296,0.0,0.0,0.0,-0.729006667783989,0.1764242268482823,2.266666666666666,0.0,1.2540004627899108,0.0,0.0,0.0,0.0,0.0,0.0,-0.7255818208151973,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID911211negative,1.2967282150955615,0.6121973377572387,-0.09960420943609093,0.0,-0.5337635873316826,-0.039230780169410284,-0.14285714285714285,1.3976485437431,-0.5036347879228104,-0.49962917181705874,0.0,0.0,0.0,-0.06065174356631653,0.6182504398560281,0.2283944915144639,0.0,0.029164226746121926,0.5948564712942587,0.5144897819697902,0.17455308705148798,0.7094252610548144,-0.06962183821687966,0.0,-2.0416437378229233,0.6563547899270166,-1.8385741110548104,-0.1364605543710019,0.8922077922077919,0.21651213257052676,0.0,0.0,-0.0803526798111637,0.0,0.6520292747837656,0.0,0.0,0.0,-0.09621323613515205,-0.14278065570350765,0.0,-1.4634146341463414,0.6703426329794531,0.12898128055441588,-1.4634146341463414,0.8922077922077919,1.06412213740458,0.0,0.6249999999999999,-2.482999883741821,0.10782453398816866,0.0,0.49261612118434556,0.0,0.0,0.0,0.0,0.0,0.0,1.06412213740458,0.0,0.0,0.0,0.0,0.0,0.0,-0.5284900284900287,0.0,0.15076034268017643,0.8749394782772129,0.0,0.0,-0.5284900284900287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036055355740118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21621621621621656,0.0,0.0,0.01369095234841058,0.0,0.0,0.4324324324324323,0.0,0.0,0.0,-0.20488498210175962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6636497858881716,0.0,0.0,0.0,0.46117679596210986,0.19372727726440336,0.0,0.4791892960014616,0.0,0.0,0.0,-0.32285350921297823,0.6645935063822496,0.26666666666666633,0.0,0.030446236272049176,0.0,0.0,0.0,0.0,0.0,0.0,0.5512528300160843,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID858918negative,-0.8809847748623256,-0.3280404471303862,0.10962843773696578,0.0,-0.29882815304328586,0.4825531955234708,-0.07142857142857142,1.3914860111499303,0.46467560620612447,-0.009740420271940808,0.0,0.0,0.0,-0.8119968529516272,-1.295039333447597,-0.3465379826113944,0.0,0.05672097642749702,-0.6950640128025601,1.0826156790376598,0.2910157823167928,0.23961662928026886,0.589748275698689,0.0,0.2903758347338522,-0.5915905056216716,0.1474695240082261,-0.3752665245202557,-0.17532467532467527,0.47800355099625164,0.0,0.0,-0.9939669536239932,0.0,0.38589487691284075,1.0020628371945413,0.0,0.0,0.018975758915975933,0.7632166324792269,0.0,-0.7317073170731709,0.050081923672574705,-0.4371299486413944,-0.7317073170731709,-0.17532467532467527,-0.16793893129771006,0.0,0.6249999999999999,-0.7029814938118938,-0.4770965166098549,0.0,-1.1760381065677263,638.9763749327275,0.0,0.0,0.0,0.0,0.0,-0.16793893129771006,0.0,0.0,0.0,0.0,0.0,0.0,-0.09544159544159563,0.0,0.3678261857474671,1.2681076568236154,0.0,0.0,-0.09544159544159563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8477460740733834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462900453608626,0.0,0.0,0.4324324324324323,0.0,0.0,0.0,-1.2077627384123206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.275107235311318,0.0,0.0,0.0,-0.200719076263569,1.2036341020512373,0.0,-1.045509044391433,0.0,0.0,0.0,-1.4195971725178198,0.9783089180159341,0.9333333333333332,0.0,0.6312231893344724,0.0,0.0,0.0,0.0,0.0,0.0,0.975172087846748,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID139481negative,0.05730233485335509,0.23048883020443667,0.03396443575659022,-5.322696030341692,0.010369354526963479,-1.604657790080913,3.2142857142857144,0.33751983286974213,-0.5106229531358147,3.1284054388133518,-5.322696030341615,-5.3226960303416355,-5.322696030341615,1.7417288462514595,0.9084594770297963,0.5340984418242882,6.0,-0.21746868290218496,0.4815963192638527,-1.4102838928551455,-1.7652812720613664,0.4466827608834303,-0.29367068044754036,-5.322696030341572,-0.4770506498721611,1.8970083503188886,-0.46802628833715837,1.371172707889126,0.43896103896103883,-0.3001578220556323,-5.3226960303416355,-5.3226960303416355,1.3299847264648708,-5.322696030341572,-0.9527611443779107,0.7521421770866391,-5.3226960303416355,-5.322696030341572,0.0,-2.126296871782391,-5.322696030341631,-0.09756097560975636,0.3657641346391242,1.5834115163887827,-0.09756097560975636,0.43896103896103883,1.5419847328244276,-5.3226960303416355,-1.5,-0.6810086982254774,-0.05004929215220525,-5.3226960303416355,-0.5497714723540991,-5.322696030341615,-5.322696030341631,-5.322696030341572,-5.322696030341572,-5.322696030341572,-5.3226960303416355,1.5419847328244276,-5.322696030341616,-5.322696030341572,-5.322696030341631,-5.322696030341572,-5.322696030341615,-5.3226960303416355,-0.12250712250712248,-5.322696030341572,-1.9456159322718556,0.22855033070350822,-5.322696030341572,-5.322696030341616,-0.12250712250712248,-5.322696030341572,-5.322696030341615,-5.322696030341616,-5.322696030341572,-5.322696030341631,-5.322696030341631,-5.3226960303416355,-5.322696030341692,-5.322696030341616,-5.3226960303416355,-5.322696030341572,-5.322696030341572,-5.3226960303416355,-5.322696030341572,-5.322696030341631,-5.322696030341631,1.381075008458711,-5.322696030341572,-5.3226960303416355,-5.322696030341572,-5.3226960303416355,-5.3226960303416355,-5.3226960303416355,-5.3226960303415884,-5.322696030341616,-5.3226960303416355,-5.322696030341572,-5.322696030341615,-5.3226960303416355,0.12972972972972982,-5.322696030341631,-5.3226960303416355,-0.23195986277791444,-5.322696030341572,-5.322696030341631,-0.21621621621621628,-5.322696030341616,-5.322696030341572,-5.322696030341572,1.7675847399994697,-5.322696030341616,-5.322696030341615,-5.3226960303416355,-5.322696030341615,-5.322696030341631,-5.322696030341631,-5.322696030341631,-5.322696030341616,-5.322696030341631,-5.3226960303416355,-5.322696030341616,0.881204264655492,-5.322696030341615,-5.3226960303416355,-5.3226960303416355,-0.3443960450805505,-1.7033096972093513,-5.3226960303416355,1.5912491783737772,-5.3226960303416355,-5.322696030341605,-5.322696030341631,1.2558383814483902,-1.0785573545789426,-2.0000000000000004,-5.322696030341631,-1.8114207395993056,-5.322696030341616,-5.322696030341631,-5.322696030341631,-5.322696030341631,-5.322696030341631,-5.322696030341616,-0.6216332473393219,-5.322696030341692,-5.3226960303416355,-5.3226960303416355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID136590negative,0.13095777993737184,0.2460797092862507,-0.046904880800458404,-6.8284271247463035,0.246153447177176,-0.6824992701674277,4.785714285714286,0.3463382884183957,0.05764508547650215,5.177354758961685,444.9961006081833,-6.828427124746203,-6.828427124746171,0.823917205072984,0.829029798278353,0.8159216523804722,8.0,-1.2643094163710051,0.43522454490898166,-0.7516114362023734,-1.0625156946635776,0.30791177811063747,-0.7124936842972818,-6.828427124746121,-1.2327004019078311,0.9208460160972782,-1.3442416023367398,0.7902420669760445,1.832467532467532,-0.7677056618662458,-6.828427124746203,-6.828427124746203,0.5030299123259412,-6.828427124746121,-0.324840515048335,0.0,-6.828427124746203,-6.828427124746121,0.10413600628331343,-0.6586971688164189,-6.828427124746212,-0.54519368723099,-0.03817119429003217,0.5420669519890229,-0.54519368723099,1.832467532467532,0.4961832061068702,-6.828427124746203,-0.551470588235294,0.281630151029942,0.004946927852128654,-6.828427124746203,0.17370146279945453,-6.828427124746198,-6.828427124746212,-6.828427124746121,-6.828427124746121,-6.828427124746121,-6.828427124746203,0.4961832061068702,-6.828427124746179,-6.828427124746121,-6.828427124746212,-6.828427124746121,-6.828427124746198,-6.828427124746203,1.5655270655270654,-6.828427124746121,-0.45337286814951533,0.10920756262371188,-6.828427124746121,-6.828427124746179,1.5655270655270654,-6.828427124746121,-6.828427124746198,-6.828427124746179,-6.828427124746121,-6.828427124746212,-6.828427124746212,-6.828427124746203,-6.8284271247463035,-6.828427124746179,-6.828427124746203,-6.828427124746121,-6.828427124746121,-6.828427124746203,-6.828427124746121,-6.828427124746212,-6.828427124746212,0.6490410024389657,-6.828427124746121,-6.828427124746203,-6.828427124746121,-6.828427124746203,-6.828427124746203,-6.828427124746203,-6.828427124746156,-6.828427124746179,-6.828427124746203,-6.828427124746121,-6.828427124746198,-6.828427124746203,0.30524642289348175,-6.828427124746212,-6.828427124746203,0.4815090885389599,-6.828427124746121,-6.828427124746212,0.16534181240063606,-6.828427124746179,-6.828427124746121,-6.828427124746121,0.5943353923106194,-6.828427124746179,-6.828427124746198,-6.828427124746203,444.9961006081833,-6.828427124746212,-6.828427124746212,670.9083644746489,-6.828427124746179,-6.828427124746212,-6.828427124746203,-6.828427124746179,1.3066947315901225,-6.828427124746171,-6.828427124746203,-6.828427124746203,-0.43534733951659904,0.07189762040636308,-6.828427124746203,0.4945709250437814,-6.828427124746203,-6.828427124746182,-6.828427124746212,0.8353959554456434,1.2722864730574823,-0.6352941176470591,-6.828427124746212,-0.4051480927715775,896.8206283411099,-6.828427124746212,-6.828427124746212,-6.828427124746212,-6.828427124746212,-6.828427124746179,-0.47808405052483915,-6.8284271247463035,-6.828427124746203,-6.828427124746203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID735828negative,0.4685455134434724,-0.47576727100367305,-0.631258207105735,0.0,0.8141411333744447,0.3432953969104174,-0.6428571428571429,-0.21222654379849398,1.5082486636909624,0.00978986402966635,0.0,0.0,0.0,-0.865638800060911,-0.5413587091493554,0.20968308102735414,0.0,-0.9083393613723262,-0.6511302260452081,0.4875264848609118,1.3134431604432881,-1.1799841538167959,-0.28546578133355,0.0,0.8995047369751771,0.05424419751462941,-1.397775029060235,-0.11044776119402969,0.7142857142857141,-0.7677056618662458,0.0,0.0,-0.9739655651207998,0.0,-0.6520292747837658,0.0,0.0,0.0,-1.2416978671811256,1.27385877690088,0.0,-0.24390243902439063,-1.2597541541661368,-0.09206339006341979,-0.24390243902439063,0.7142857142857141,0.563358778625954,0.0,-0.6249999999999999,-1.3007599057251864,-0.8595911288176049,0.0,-2.0174248814045197,0.0,0.0,0.0,0.0,0.0,0.0,0.563358778625954,0.0,0.0,0.0,0.0,0.0,0.0,0.1766381766381766,0.0,0.09410282088396679,0.548735734408549,0.0,0.0,0.1766381766381766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6992193600570619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43243243243243257,0.0,0.0,2.1055175554405756,0.0,0.0,0.0,0.0,0.0,0.0,-0.6456249976911455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25734680733882326,0.0,0.0,0.0,-1.3320196363133512,1.1009282969321672,0.0,-0.4243190235352673,0.0,0.0,0.0,-0.310037167391283,-0.23505525571832442,0.9333333333333332,0.0,0.6636896815649418,0.0,0.0,0.0,0.0,0.0,0.0,-0.9368896884504848,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID911488negative,0.445481049562682,0.39428052296875665,-0.11575024505724146,0.0,-0.7651048790140731,-0.3101233842259689,-0.07142857142857142,0.14907789520331394,1.7260363452725598,-0.2869221260815828,0.0,0.0,0.0,-0.4475458098573678,-0.07761054115408438,-0.08510292384263793,0.0,0.0,1.4117448489697932,0.6566878545553965,0.41192273250607664,1.5061862183678947,0.7007601139832547,0.0,0.1572348558085582,0.4072259846143727,-0.9027897827188451,0.4315565031982945,0.396103896103896,-0.24028407970013813,0.0,0.0,-0.654845876145515,0.0,0.5189620758483036,0.8484608060933037,0.0,0.0,0.9674434387415072,0.3669436428745266,0.0,0.24390243902439,1.362022828897983,0.39318892947707146,0.24390243902439,0.396103896103896,0.16488549618320594,0.0,0.6249999999999999,-1.1447308623186099,0.7716005392085316,0.0,-0.44370554193136336,0.0,0.0,0.0,0.0,0.0,0.0,0.16488549618320594,0.0,0.0,0.0,0.0,0.0,0.0,0.3447293447293448,0.0,-0.6638540579661361,-1.0214963625678504,0.0,0.0,0.3447293447293448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1862114137997748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43243243243243257,0.0,0.0,-0.5413766410220923,0.0,0.0,0.6486486486486489,0.0,0.0,0.0,-0.3278564224945234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5364905035529823,0.0,0.0,0.0,0.42930235774044156,-0.27326213062957594,0.0,-0.00039050134895883445,0.0,0.0,0.0,-0.20760502006250448,1.0982266769467999,0.26666666666666633,0.0,-0.30005250885530715,0.0,0.0,958.4645623990926,0.0,0.0,0.0,0.6689128926766422,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID237399negative,-1.1018464528668603,0.2482521625785047,-0.23842682498289208,0.0,0.2119450708243981,-0.08929643024738454,-0.2857142857142857,-0.8544455303339041,-0.6544440495649374,0.004894932014833175,0.0,0.0,0.0,-0.2900258870108117,-0.49053303904662315,-0.46753400311117826,0.0,1.825634666391099,-1.278193138627725,-0.33053106417879835,-0.25798236512065353,-0.9557287453933693,0.7176613127026359,0.0,1.563157190237518,-0.7177329212966007,1.6990849751125139,0.08827292110874214,-0.6597402597402596,0.7696784375616492,0.0,0.0,-0.37563176895306855,0.0,-0.3858948769128411,2.4731831164709615,0.0,0.0,-0.2959524481283503,-0.27739804610089314,0.0,0.4878048780487803,-0.9820765468860274,-0.5468910495642676,0.4878048780487803,-0.6597402597402596,-1.151145038167939,0.0,-0.6249999999999999,1.6667512180686344,-0.5189281083912178,0.0,0.438089016084131,0.0,0.0,0.0,0.0,0.0,0.0,-1.151145038167939,0.0,0.0,0.0,0.0,0.0,0.0,-0.7549857549857553,0.0,-0.009757380415390102,-0.7357153412267508,0.0,0.0,-0.7549857549857553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38128049192670516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8648648648648648,0.0,0.0,-0.7999826573230605,0.0,0.0,-0.43243243243243246,0.0,0.0,0.0,0.17167072409372844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8090520775215755,0.0,0.0,0.0,0.3467468713268343,0.298083899922066,0.0,-0.4360830377705664,0.0,0.0,0.0,0.2628007321746045,0.7259316371112823,-0.4000000000000002,0.0,0.17590466527829696,0.0,0.0,0.0,0.0,0.0,0.0,0.8138097161979827,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID911004negative,-0.27152575315840616,-0.8932732946241655,-0.4478259261314244,0.0,0.24317867628786277,0.8028857593841692,-0.07142857142857142,-0.14360778200263488,0.9322084955680333,0.1490234857849191,0.0,0.0,0.0,-1.3816760570529418,-1.390950683656944,-0.5281317779904448,0.0,1.9439564603355026,-1.5712892578515694,1.1315016061786618,0.46369498576227475,-1.1495421683494953,0.2380246512477918,0.0,1.8687924803307703,-0.6493523571569464,1.9126106524395678,-0.7253731343283583,-0.3376623376623377,0.005030578023278747,0.0,0.0,-1.32173701749514,0.0,-0.5189620758483036,1.2430974293874961,0.0,0.0,0.006271875309780963,0.6168202204220702,0.0,0.4878048780487803,-1.251728876286526,-0.9657627420255757,0.4878048780487803,-0.3376623376623377,-1.2809160305343512,0.0,-0.6249999999999999,1.7467262754050539,-0.34078322614989626,0.0,-0.08331180006728157,0.0,958.4645623990926,0.0,0.0,0.0,0.0,-1.2809160305343512,0.0,0.0,0.0,0.0,0.0,0.0,-1.0441595441595444,0.0,0.4223587874911639,0.38727365216165577,0.0,0.0,-1.0441595441595444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8675825802376186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2972972972972971,0.0,0.0,0.004018390128685838,0.0,0.0,-0.8648648648648649,0.0,0.0,0.0,-1.544080651060041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7255421863983806,0.0,0.0,0.0,0.021364862061812852,0.78704261796627,0.0,-1.2343106470880147,0.0,0.0,0.0,-1.4370011074633837,-0.5650475456180928,1.5999999999999994,0.0,1.12345365871024,0.0,0.0,0.0,0.0,0.0,0.0,-0.22461751903828986,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EpitopeID55635negative,0.9289277615808219,-0.5324880515068925,-1.216288446244613,0.0,1.8080481182523536,-2.2971175586703123,1.5714285714285714,0.9143398077843764,1.6411714988537072,1.658689740420273,0.0,0.0,0.0,1.866405258616314,1.7178048123572438,2.946862402406174,0.0,0.1715407667665598,1.859834466893378,-2.8552388763584173,-4.331788741536727,-0.022124917684368813,-3.026214794809837,0.0,-0.11984472834897397,3.1164442106647368,0.14136687431075065,2.4554371002132207,0.5155844155844153,-0.27717498520418227,0.0,0.0,2.345070813662871,0.0,-0.9048569527611444,0.0,0.0,0.0,0.11804469997941172,-3.6800333762124944,0.0,0.24390243902439,0.21636827496427535,1.0190471718165324,0.24390243902439,0.5155844155844153,0.1511450381679388,0.0,-1.2499999999999998,0.25494361478381233,-0.06274738767204444,0.0,-0.3385516969026224,0.0,0.0,0.0,0.0,0.0,0.0,0.1511450381679388,0.0,0.0,0.0,0.0,0.0,0.0,0.757834757834758,0.0,-4.243717389840781,0.5488120036963369,0.0,0.0,0.757834757834758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3833.8582495963155,0.0,0.0,0.0,0.0,1.1688923490758898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921756388220987,0.0,0.0,-0.21621621621621628,0.0,0.0,0.0,1.5826089686993208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0855388854703545,0.0,0.0,0.0,-1.2772592131646268,-3.4263044337887814,0.0,1.4151794661932477,0.0,0.0,0.0,2.243727386550728,5.217698963419857,-0.4000000000000002,0.0,-3.1125958954094806,0.0,0.0,0.0,0.0,0.0,0.0,-0.8967549148898858,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
