,catboost,et,gbc
EpitopeID136090negative,0.7766467609356401,0.6217617459509251,0.6174860206613538
EpitopeID911211negative,0.8016098072225168,0.7602037594718621,0.7597038394039072
EpitopeID858918negative,0.45887098914856694,0.5762130033806818,0.46981898623505114
EpitopeID139481negative,0.018850288076702377,0.0,0.16675483290408535
EpitopeID136590negative,0.009934278023334202,0.01203234265734266,0.1786199826020401
EpitopeID735828negative,0.712065080418012,0.7364610579627526,0.6838132649955722
EpitopeID911488negative,0.7764239612307361,0.6607084676256103,0.6972395390114772
EpitopeID237399negative,0.4274789657773475,0.5859041743808241,0.45607998727796195
EpitopeID911004negative,0.5575149751812534,0.5303730580704533,0.5083633433099202
EpitopeID55635negative,0.4191060225649435,0.6472042205914313,0.3393579557403851
EpitopeID112454negative,0.022896062081226617,0.025317460317460315,0.17396377162782367
EpitopeID142229negative,0.013170162059775361,0.005428571428571429,0.15998662087264653
EpitopeID113094negative,0.015206859471297183,0.00125,0.161795243649304
EpitopeID194483negative,0.5985562538186838,0.6105954565986486,0.4959613863736869
EpitopeID138486negative,0.4368078214492027,0.4769649661888791,0.5062026260366431
EpitopeID452461negative,0.40368479771702553,0.38892298602957154,0.421722323587021
EpitopeID858906negative,0.611245194235134,0.7346641759737161,0.6071660302848884
EpitopeID484016negative,0.01137656556980138,0.004214285714285714,0.16767127827439582
EpitopeID936876negative,0.8592820656060867,0.7725587218797975,0.8062254723686191
EpitopeID910988negative,0.5179240801958226,0.5546820164483695,0.5363376450777635
EpitopeID598861negative,0.2564396168985311,0.37963278156436225,0.5085013502760737
EpitopeID910847negative,0.5171554018627575,0.5433528946079025,0.5460538439119617
EpitopeID125532negative,0.020398080774436333,0.011265567765567766,0.1782849310762667
EpitopeID106319negative,0.031520205801419496,0.02375,0.1774113036216878
EpitopeID132777negative,0.5238159593579502,0.598598760237697,0.5709452583959269
EpitopeID482681negative,0.026776571102090092,0.03188690476190476,0.17507928231848305
EpitopeID103404negative,0.783317911829672,0.7279734825998736,0.7198693444631394
EpitopeID107737negative,0.06277486650392067,0.14662926547951444,0.28562248260077266
EpitopeID910492negative,0.18666657996252067,0.32332849035021155,0.19959247122570098
EpitopeID911223negative,0.6147786665485041,0.6213083815599194,0.6271642599390966
EpitopeID911204negative,0.8407098910321092,0.7163543565270645,0.7823551396538382
EpitopeID215463negative,0.04081972922174258,0.021411094224924012,0.16840846580362398
