,catboost,et,gbc
Negative_0,0,0,0
Negative_1,0,0,0
Negative_2,0,0,0
Negative_3,0,0,0
Negative_4,0,0,0
Negative_5,0,0,0
Negative_6,0,0,0
Negative_7,1,1,1
Negative_8,1,0,1
Negative_9,0,0,0
Negative_10,0,0,0
Negative_11,1,1,1
Negative_12,0,0,0
Negative_13,0,1,1
Negative_14,0,0,0
Negative_15,1,1,1
Negative_16,1,1,1
Negative_17,0,0,0
Negative_18,0,0,0
Negative_19,0,0,0
Negative_20,0,0,0
Negative_21,0,0,0
Negative_22,0,0,0
Negative_23,0,0,0
Negative_24,0,0,0
Negative_25,0,0,0
Negative_26,0,0,0
Negative_27,0,0,0
Negative_28,0,0,0
Negative_29,0,0,0
Negative_30,1,1,0
Negative_31,0,0,0
Negative_32,1,1,1
Negative_33,1,1,1
Negative_34,0,0,0
Negative_35,0,0,0
Negative_36,1,1,1
Negative_37,1,1,1
Negative_38,1,1,1
Negative_39,1,1,1
Negative_40,0,0,0
Negative_41,0,0,0
Negative_42,0,0,0
Negative_43,0,0,0
Negative_44,0,0,0
Negative_45,0,0,0
Negative_46,0,0,0
Negative_47,0,0,0
Negative_48,0,0,0
Negative_49,0,0,0
Negative_50,0,0,0
Negative_51,0,0,0
Negative_52,0,0,0
Negative_53,0,0,0
Negative_54,0,0,0
Negative_55,0,0,0
Negative_56,0,0,0
Negative_57,0,0,0
Negative_58,0,0,0
Negative_59,0,0,0
Negative_60,0,0,0
Negative_61,0,0,0
Negative_62,0,0,0
Negative_63,0,0,0
Negative_64,0,0,0
Negative_65,0,0,0
Negative_66,0,0,0
Negative_67,0,0,0
Negative_68,0,0,0
Negative_69,0,0,0
Negative_70,0,0,0
Negative_71,0,0,0
Negative_72,0,0,0
Negative_73,1,0,1
Negative_74,0,0,0
Negative_75,0,0,0
Negative_76,0,0,0
Negative_77,0,0,0
Negative_78,0,0,0
Negative_79,0,0,0
Negative_80,0,0,0
Negative_81,0,0,0
Negative_82,0,0,0
Negative_83,0,0,0
Negative_84,0,0,0
Negative_85,0,0,0
Negative_86,0,0,0
Negative_87,0,0,0
Negative_88,0,0,0
Negative_89,0,0,0
Negative_90,1,0,1
Negative_91,0,0,0
Negative_92,0,0,0
Negative_93,0,0,0
Negative_94,0,0,0
Negative_95,0,0,0
Negative_96,0,0,0
Negative_97,0,0,0
Negative_98,0,0,0
Negative_99,0,0,0
Negative_100,0,0,0
Negative_101,0,0,0
Negative_102,0,0,0
Negative_103,0,0,0
Negative_104,0,0,0
Negative_105,0,0,0
Negative_106,0,0,0
Negative_107,0,0,0
Negative_108,0,0,0
Negative_109,0,0,0
Negative_110,0,0,1
Negative_111,0,0,0
Negative_112,0,0,0
Negative_113,0,0,0
Negative_114,0,0,0
Negative_115,0,0,0
Negative_116,0,0,1
Negative_117,0,0,0
Positive_0,1,1,1
Positive_1,1,1,1
Positive_2,1,1,1
Positive_3,1,1,1
Positive_4,1,1,1
Positive_5,1,1,1
Positive_6,1,1,1
Positive_7,1,1,1
Positive_8,1,1,1
Positive_9,1,1,1
Positive_10,1,1,1
Positive_11,1,1,1
Positive_12,1,1,1
Positive_13,1,1,1
Positive_14,1,1,1
Positive_15,1,1,1
Positive_16,1,1,1
Positive_17,1,1,1
Positive_18,1,1,1
Positive_19,1,1,1
Positive_20,0,1,0
Positive_21,1,1,1
Positive_22,1,1,1
Positive_23,1,1,1
Positive_24,1,1,1
Positive_25,1,1,1
Positive_26,1,1,1
Positive_27,1,1,1
Positive_28,0,0,0
Positive_29,1,1,1
Positive_30,1,1,1
Positive_31,1,1,1
Positive_32,1,1,1
Positive_33,1,1,1
Positive_34,1,0,1
Positive_35,1,1,1
Positive_36,1,1,1
Positive_37,1,1,1
Positive_38,1,0,1
Positive_39,1,1,1
Positive_40,1,1,1
Positive_41,1,1,1
Positive_42,1,1,1
Positive_43,1,1,1
Positive_44,1,1,1
Positive_45,1,1,1
Positive_46,0,1,0
Positive_47,1,1,1
Positive_48,1,1,1
Positive_49,1,1,1
Positive_50,1,1,1
Positive_51,0,1,0
Positive_52,1,1,1
Positive_53,1,1,1
Positive_54,1,1,1
Positive_55,1,1,1
Positive_56,1,1,1
Positive_57,1,1,1
Positive_58,0,0,0
Positive_59,1,1,1
Positive_60,1,1,1
Positive_61,1,1,1
Positive_62,1,1,1
Positive_63,1,1,1
Positive_64,1,1,1
Positive_65,1,0,1
Positive_66,1,1,1
Positive_67,1,1,1
Positive_68,1,1,1
Positive_69,1,1,1
Positive_70,1,1,1
Positive_71,1,1,1
Positive_72,1,1,1
Positive_73,1,1,1
Positive_74,1,1,1
Positive_75,1,1,1
Positive_76,0,0,0
Positive_77,1,1,1
Positive_78,1,1,1
Positive_79,1,1,1
Positive_80,1,1,1
Positive_81,1,1,1
Positive_82,1,1,1
Positive_83,1,1,1
Positive_84,1,1,1
Positive_85,1,1,1
Positive_86,1,1,1
Positive_87,1,1,1
Positive_88,1,1,1
Positive_89,1,1,1
Positive_90,1,1,1
Positive_91,1,1,1
Positive_92,0,0,0
Positive_93,1,1,1
Positive_94,1,1,1
Positive_95,1,1,1
Positive_96,1,1,1
Positive_97,1,1,1
Positive_98,1,1,1
Positive_99,1,1,1
Positive_100,1,0,0
Positive_101,1,1,1
Positive_102,1,1,1
Positive_103,1,1,1
Positive_104,0,0,0
Positive_105,0,1,0
Positive_106,1,1,0
Positive_107,0,0,1
Positive_108,1,1,1
Positive_109,1,1,1
Positive_110,1,1,1
Positive_111,1,1,1
Positive_112,1,1,1
Positive_113,1,1,1
Positive_114,1,0,1
Positive_115,1,1,1
Positive_116,1,1,1
Positive_117,1,1,1
