,CTDD_hydrophobicity_ZIMJ680101.3.residue25,CTDD_solventaccess.2.residue0,CTDD_solventaccess.2.residue25,Z5__31,CTDD_solventaccess.2.residue50,SER_C,CTDD_solventaccess.3.residue0,CTDD_solventaccess.3.residue25,Z5__36,CTDD_solventaccess.3.residue50,CTDD_solventaccess.3.residue100,CTDC_hydrophobicity_PRAM900101.G1,CTDC_hydrophobicity_PRAM900101.G3,Isoelectric_point,CTDD_hydrophobicity_FASG890101.1.residue0,CTDD_hydrophobicity_ENGD860101.1.residue25,CTDD_hydrophobicity_ENGD860101.1.residue0,Ez__23,RRI_F,Ez__22,Z5__53,CTDC_hydrophobicity_PONP930101.G3,ABHPRK__17,CTDD_hydrophobicity_CASG920101.2.residue25,Z5__56,CTDD_hydrophobicity_CASG920101.2.residue0,CTDD_polarity.3.residue25,CTDC_hydrophobicity_FASG890101.G1,CTDD_hydrophobicity_CASG920101.1.residue25,Z5__46,Ez__17,CTDD_solventaccess.1.residue25,CTDD_hydrophobicity_FASG890101.1.residue25,CTDD_polarity.3.residue50,QSO3_SC_C,Z3__26,Z3__21,CTDD_polarity.1.residue25,CTDD_polarity.1.residue0,CTDD_normwaalsvolume.3.residue25,CTDD_normwaalsvolume.3.residue0,QSO3_SC_L,CTDD_polarizability.2.residue100,CTDD_polarizability.3.residue0,CTDD_polarizability.3.residue25,CTDD_normwaalsvolume.2.residue100,CTDD_solventaccess.1.residue0,CTDD_normwaalsvolume.2.residue25,CTDD_charge.1.residue0,CTDD_charge.1.residue25,CTDD_charge.1.residue50,CTDD_charge.1.residue75,SEP_L,CTDD_charge.2.residue0,CTDD_charge.2.residue25,Z3__6,SEP_C,CTDD_hydrophobicity_FASG890101.3.residue25,Z5__21,CTDD_hydrophobicity_FASG890101.3.residue0,CTDD_hydrophobicity_FASG890101.1.residue50,CTDD_normwaalsvolume.2.residue0,CTDD_hydrophobicity_CASG920101.1.residue0,Ez__20,Ez__14,APAAC_Pc1.L,Ez__15,Cougar__15,Cougar__14,OVP_Polar_N1,CTDC_solventaccess.G2,Cougar__13,Cougar__12,OVP_Aromatic_N2,Cougar__11,OVP_Negative_N2,OVP_Polar_N2,OVP_Hydrophobic_N2,Cougar__7,APAAC_Pc1.C,OVP_Charged_N2,CTDD_hydrophobicity_ZIMJ680101.3.residue0,CTDD_hydrophobicity_PRAM900101.3.residue100,GAAC_postivecharge,OVP_Aromatic_C5,AAC_C,CTDD_hydrophobicity_ARGP820101.3.residue0,ABHPRK__76,CTDD_hydrophobicity_PONP930101.1.residue0,CTDD_hydrophobicity_ARGP820101.3.residue25,MSW__18,DDR_C,CTDD_hydrophobicity_PRAM900101.1.residue75,CTDD_hydrophobicity_PRAM900101.1.residue50,CTDD_hydrophobicity_PRAM900101.1.residue25,CTDD_hydrophobicity_PRAM900101.1.residue0,CTDD_hydrophobicity_PRAM900101.2.residue100,Cougar__16,OVPC_Charged,Cougar__21,Z5__66,Ez__13,Ez__12,CTDD_hydrophobicity_PONP930101.3.residue25,Ez__10,Z5__71,Z5__72,Ez__9,Ez__8,Ez__7,Ez__6,Ez__1,Cougar__30,Cougar__29,Cougar__28,CTDD_hydrophobicity_PONP930101.3.residue0,CTDD_polarity.3.residue0,OVPC_Positive,CTDD_hydrophobicity_PONP930101.1.residue25,CTDD_hydrophobicity_PONP930101.2.residue25,CTDC_polarity.G3,Boman_Index,CTDC_polarity.G1,Cougar__26,Cougar__27,formula_S,MSW__20,Ez__27,Z5__6,APAAC_Pc1.R,Geary_CHAM820102.lag1,Z5__61,CTDD_hydrophobicity_ENGD860101.1.residue50,Z5__16,Z5__51,Ez__24,Z3__3,MSW__27,TM_tend,MSW__6,Cougar__2,Ez__16,Calculate_charge,Ez__21,CTDD_hydrophobicity_ZIMJ680101.2.residue100,Geary_CHAM820101.lag1,MSW__21,CTDD_polarizability.2.residue25,CTDD_hydrophobicity_ZIMJ680101.3.residue100,Ez__11,APAAC_Pc1.I,CTDD_polarizability.2.residue0,CTDD_solventaccess.2.residue75,CTDD_hydrophobicity_ARGP820101.1.residue25,CTDD_hydrophobicity_PONP930101.2.residue0,CTDD_normwaalsvolume.3.residue50,CTDD_polarizability.3.residue100,CTDD_normwaalsvolume.3.residue100,CTDD_polarity.3.residue75,CTDD_polarizability.3.residue50,CTDD_charge.1.residue100,ABHPRK__16,MSW__24,Z3__12,Z5__1,Charge_acid,QSO3_SC_R,CTDD_hydrophobicity_CASG920101.2.residue50,QSO3_SC2,Z5__22,CTDD_hydrophobicity_ARGP820101.1.residue0,ABHPRK__77,APAAC_Pc1.K,Ez__25,ABHPRK__1,OVP_Aliphatic_C5,Cougar__6,CTDD_hydrophobicity_ARGP820101.3.residue100,Z5__41,Cougar__22,OVP_Hydrophobic_N1,CTDD_solventaccess.1.residue50,SER_L,AAC_L,Ez__18,OVP_Charged_N3,DDR_K,CTDC_charge.G2,Geary_BIGC670101.lag1,CTDD_hydrophobicity_ENGD860101.1.residue100,Cougar__24,CTDC_charge.G3,CTDD_hydrophobicity_ENGD860101.3.residue100,Cougar__3,CTDC_hydrophobicity_PONP930101.G1,MSW__23,CTDC_hydrophobicity_ENGD860101.G3,OVPC_Negative,CTDD_hydrophobicity_PRAM900101.3.residue0,GAAC_negativecharge,CTDD_polarity.2.residue25,QSO3_SC1,ABHPRK__20,QSO3_G1,Ez__29,CTDC_hydrophobicity_ENGD860101.G1,Z5__20,CTDD_hydrophobicity_PRAM900101.3.residue25,MSW__26,CTDD_charge.3.residue75,y,MotifBitVec_LMK,MotifBitVec_ADV,MotifBitVec_AGIGIL,MotifBitVec_AQID,MotifBitVec_EFP,MotifBitVec_AVADE,MotifBitVec_VDEV,MotifBitVec_ITD
Negative_0,-0.407407407,0.269230769,0.269230769,0.708924674,-0.15,0,-0.525,-0.525,-0.665660163,-0.825,0.35483871,-0.611111111,0.3,-1.415746451,0.269230769,-0.55,-0.55,1.288920415,0,1.253736896,-0.664795765,0.25,0,-0.5,0.748304371,-0.45,0.269230769,0,0.35,-0.115358566,1.404134332,0.8,0.269230769,-0.15,0,0.002130217,0.737406464,-0.55,-0.55,-0.45,-0.45,0.43017701,0,-0.45,-0.45,0,0.8,-0.2,-0.53092006,-0.53092006,-0.53092006,-0.5,-0.232365145,-1,0,-0.626623393,0,-0.1,0.105976478,-0.1,-0.15,-0.2,0.35,1.310461611,-0.691205647,0.541904049,-0.550837044,-0.2161949,0.059039679,1,-0.611111111,-0.354242093,-0.011518155,0,0.138049014,0,0,0,0.336724656,0,0,-0.407407407,0,-1.111111111,0,0,-0.423076923,-0.2,0.35,-0.423076923,-1.920593763,0,-0.495238095,-0.15,0.269230769,0.269230769,0.044444444,-0.5225168,-0.1,0.354720192,-0.556238457,-0.640616508,-0.614261567,-0.55,-1.005245058,0.443623202,0.647775815,-0.748423856,-0.339002464,-0.389802378,-0.392486895,-0.539351766,-0.191985821,-0.026749659,-0.615022258,-0.55,0.269230769,-1.111111111,0.367213115,1.466666667,-0.6,-0.275786815,0.25,-0.207455815,-0.6213612,0,0.612484277,1.168911387,-0.511237563,0,-0.653939354,-0.355958769,-0.55,-0.795525361,-0.571143774,0.847872114,-0.495718804,1.218935855,0.296729888,0.112887164,0.409759739,1.080563878,-1.001001001,0.92133125,0.47826087,-0.105194734,1.074366527,-0.2,-0.9,0.14672826,0,-0.2,-0.495238095,0.269230769,1.466666667,-0.525,-1.166666667,-1.166666667,-0.6,-0.525,-0.514285714,0.444444444,0.859588799,-0.247832826,0.726494188,0.766337845,0,-0.4,0.630762602,1.023477672,0.269230769,-0.842105263,0,0.579443508,0.444444444,0,0.353698995,-0.9,0.042475672,0.68323272,0,0.20625,-0.232365145,0.4,1.35596287,1,0,0.117647059,-0.219723369,-0.4,0.041688385,0.444444444,0,0.262039188,0,0.100112574,0.3,0.444444444,-0.084210526,0.444444444,1.133333333,0.274715661,1,0.274715661,1.153120721,0,-0.467319348,-0.084210526,0.597023415,0,0,0,0,0,0,0,0,0,0
Negative_1,2.592592593,-0.384615385,-0.384615385,-1.020627127,-0.5,0,1.5,1.5,-0.119758784,1.875,0.64516129,1.561728395,-1,-0.68676323,-0.384615385,-0.5,-0.5,-0.908582338,0,-1.062916888,1.23865342,-1,1,3.05,-0.073713977,3.1,-0.384615385,1.15,-0.5,0.377520553,-1.124951551,4,-0.384615385,-0.5,0,0.339228824,-0.910130176,3,3,0.075,0.075,-0.507442708,-0.555555556,0.075,0.075,-0.5,4,0,0,0,0,0,0.730290456,10,0.2,-0.798903874,0,7,0.529105577,7,-0.5,0,-0.5,-0.88204903,1.036971045,-0.512537735,1.126262421,2.082848065,2.531469718,1,1.561728395,2.394886457,2.227834058,0,2.087206988,0,1,-1,-1.378220974,0,0,2.592592593,-0.5,0,1,0,2.692307692,1,-0.5,2.692307692,-1.002423944,0,-0.380952381,-0.5,-0.384615385,-0.384615385,0.444444444,0.489121275,0.5,-1.191236166,-0.114984615,1.366405954,0.739446536,3,1.341250694,-0.543636762,0.002547373,1.283875607,1.475875901,0.960599432,1.137226223,0.776085362,1.736835803,1.850274898,1.568887123,3,-0.384615385,0,-0.524590164,0.666666667,1,1.337101382,-1,1.818423704,1.612093606,0,-0.928257862,-0.866406764,-0.542816404,0.898779716,-0.57334883,0.313782065,-0.366666667,-0.819261977,-0.733956303,-0.839628232,0.946111166,0.047286872,-0.566449899,1.01706537,2.038568819,-1.101079741,-0.5,-0.912820696,0.239130435,-0.734234942,1.457304716,0,0,1.441827759,0,0,-0.380952381,-0.384615385,0.666666667,0,0.333333333,0.333333333,-0.5,0,-0.085714286,0.555555556,0.3093707,-0.889372724,-0.584297062,1.67177551,1.113696673,1.666666667,0.139595002,0.526266636,-0.384615385,0.578947368,0,-0.616745288,0.555555556,-1,-1.126525565,0,0.743056683,-1.643603922,-1,0.6875,0.730290456,-0.5,-1.03416504,1,0,-0.588235294,-0.910510246,0.5,-1.927669354,0.555555556,-0.5,2.09288004,0.177777778,0.121487812,-1,0.555555556,2.526315789,0.555555556,1,-0.374453193,0,-0.374453193,-0.553215666,1.086419753,-1.001136783,2.526315789,0.393992166,-0.425,0,0,0,0,0,0,0,0,0
Negative_2,-0.37037037,0,0,-0.442241817,-0.5,0,0,0,-0.555956981,-0.125,-0.967741935,-0.475308642,-5.00E-16,0.73035996,0,0,0,0.055036995,0,-0.221542841,-0.237177046,-0.5,0,1.55,0.45038748,1.6,0,0.15,0,-0.136644446,0.512395996,0,0,-0.5,0,-0.039855372,-0.414780625,-0.5,-0.5,-0.425,-0.425,0.05788004,-2.222222222,-0.425,-0.425,-2,0,0,0.884866767,0.884866767,0.884866767,0.833333333,0,0,0.2,-0.916942913,0,0,0.105102139,0,-0.5,0,0,0.591684185,-0.053618581,0.019234985,-0.328375723,-0.292014993,-0.816137471,0,-0.475308642,-1.380658833,-1.12863114,0,-0.968835023,0,1,-1,0.283959136,0,0,-0.37037037,-1.5,0,0,0,-0.384615385,-0.5,0,-0.384615385,0.816747183,0,-0.761904762,-0.5,0,0,0.444444444,-0.171643746,-0.5,0.104679126,0.198064917,-0.598132761,-0.043341458,-0.5,-0.081666349,0.678797551,0.85132343,-0.412736921,-0.335192422,-0.28378108,-0.447679613,0.096841511,-1.416587059,-1.517956603,-1.50750062,-0.5,0,0,0,2,-0.5,-0.416634994,-0.5,-1.201468316,-1.110855371,0,0.588194969,-0.642680882,-1.092490324,0,-0.107110746,-0.922855275,-0.977777778,-0.046288562,0.090123147,-0.104953897,-0.703031653,-0.230969376,-0.400022151,0.787020205,-0.255987097,0.709875449,0.500500501,-0.251419209,0.239130435,0.370604217,-0.631462888,0,-1.5,-0.590408162,0,0,-0.761904762,0,2,-0.5,0,0,-0.833333333,-0.5,0.628571429,-0.555555556,-0.411804724,0.623027354,-0.389283202,-0.012457271,0,0.666666667,-0.596294701,0.254865196,0,-0.368421053,1.04051165,0.16941105,-0.555555556,-1,-0.097594025,-1.5,-0.858986322,0.323988694,0,0.6875,0,0,0.83305424,0,1.252252252,0.588235294,0.401614381,0,0.25554377,-0.555555556,-1.5,-0.759710232,0.177777778,-0.608247754,5.00E-16,-0.555555556,-0.421052632,-0.555555556,0.333333333,-0.073490814,0,-0.073490814,-0.563829975,-0.271604938,0.121482757,-0.421052632,-0.163429629,-0.675,0,0,0,0,0,0,0,0,0
Negative_3,2.592592593,0,0,0.398377384,-0.5,0,-0.5,-0.5,0.654346534,0.208333333,0.64516129,-0.475308642,-0.5,0.001147282,0,-0.5,-0.5,-1.060121228,0,-1.091528722,0.454734371,-0.5,0,-0.45,-0.01838748,-0.4,-0.384615385,0.15,0,-0.791535873,-1.391858859,2,0,-1,0,-0.832050558,0.691196788,0.5,0.5,-0.425,-0.425,-0.507442708,-1.111111111,-0.425,-0.425,-1,2,0,-0.53092006,-0.53092006,-0.53092006,-0.5,0.730290456,0,0.2,0.047045871,0,0,0.737347979,0,-0.5,0,0,-1.31686462,-0.262501413,-0.512537735,-0.062300767,-0.553610596,-0.552809667,1,-0.475308642,-0.432766047,-0.194453774,0,0.035228255,0,1,-1,0.371621972,0,0,2.592592593,-2,0,1,0,2.692307692,1,0,2.692307692,1.528842308,0,-0.761904762,-0.5,0,0,0.444444444,-0.935235773,-0.5,-0.076021768,0.081359068,0.134505362,-0.120218219,0.5,-0.184822083,-0.258941703,-0.029189365,-0.224864539,0.06982785,-0.104164617,-0.015472033,-0.752518614,0.852173352,0.584907241,0.709380207,0.5,-0.384615385,0,0,0,5.00E-16,0.17039589,-0.5,0.866095365,0.795705789,0,1.171440252,-0.932838262,-0.034287584,0,-0.509353724,0.2722417,-0.977777778,0.523491854,1.007159053,-1.023151379,-0.019367249,0.999528119,-0.827441294,0.350182206,-0.186419808,-1.451568867,0.049049049,-1.387511654,-0.47826087,0.16626962,-1.692904071,0,0,-0.002064759,0,0,-0.761904762,0,0,-0.5,0.333333333,0.333333333,-0.833333333,-0.5,-0.514285714,-0.555555556,-1.54791244,-0.091106783,-1.596870035,-0.012457271,0,0,-1.414907368,-0.254948006,0,0.578947368,0,-0.931981847,-0.555555556,-1,0.140815099,0,-0.254162372,-0.13770781,0,0,0.730290456,-0.5,-1.431144779,0,0,1.176470588,0.731797988,0.5,0.13219488,-0.555555556,-2,-0.36759826,0.177777778,-1.346805431,-0.5,-0.555555556,0.421052632,-0.555555556,0.666666667,-0.685914261,0,-0.685914261,-0.933084227,0.181069959,-0.025021481,0.421052632,0.447991017,-0.675,0,0,0,0,0,0,0,0,0
Negative_4,0.37037037,0,0,0.310846998,0.5,0,0,0,-0.475256129,-0.125,-0.64516129,0.882716049,-0.5,-1.274745447,0,0,0,-0.250300215,0,-0.458172532,0.055863823,-0.5,1,-0.45,-0.028749056,-0.4,0,0.65,0,-0.904773056,-0.24293303,0,0,0.5,0,-0.710075549,0.5894222,0.5,0.5,0.075,0.075,-0.032770995,0,0.075,0.075,0,0,0,-0.53092006,-0.53092006,-0.53092006,-0.5,0,0,-0.8,0.442346993,0,0,0.207380537,0,0.5,0,0,-0.527394018,0.656208753,0.011685315,0.563762612,0.284687714,0.41340489,0,0.882716049,0.694775007,0.329988487,0,0.571373011,0,1,-1,0.08460899,0,0,0.37037037,0,0,0,0,0.384615385,1,0,0.384615385,0.489418948,0,0.761904762,0.5,0,0,-1.333333333,-0.674867723,1,-0.675226452,0.168926876,0.625904588,0.92220944,0.5,0.491882804,-0.186302427,0.121741842,0.84546391,0.652398957,0.670976971,0.831775897,0.406212842,1.823506733,1.770659216,1.447488286,0.5,0,0,0,0,1,0.658362248,-0.5,1.652538718,1.466231444,0,-0.540710692,-0.419577224,0.331296024,0,0.028657787,1.589962294,0.244444444,-0.70658987,0.239366845,-0.35591804,0.962331733,0.162671272,-0.398130958,0.688158256,-0.370022043,-0.555037396,-1.450950951,-0.637497561,0.47826087,0.14401374,0.592099557,0,-1,0.865779079,0,0,0.761904762,0,0,0,-1,-1,0.166666667,0,-0.514285714,1.111111111,0.121728905,0.140103051,-0.200721224,0.225844034,0,0,-0.951314089,0.535634587,0,1.052631579,0,-0.41068593,1.111111111,0,-0.357038195,-1,-0.43295062,-0.533057869,0,-0.6875,0,0,-0.228515192,0,0,-0.588235294,0.007984356,0,-0.872783199,1.111111111,0,0.198082903,0.177777778,0.243821077,-0.5,1.111111111,2.105263158,1.111111111,-0.333333333,0.720909886,1.2,0.720909886,-0.368063985,1.086419753,-1.092340692,2.105263158,-0.488752394,0.825,0,0,0,0,0,0,0,0,0
Negative_5,0.509259259,0.096153846,0.096153846,-0.061717854,-0.375,0,-0.75,-0.75,-0.525237173,-1.125,-2.258064516,-0.305555556,0.75,0.73035996,0.096153846,0.125,0.125,0.391439801,0,0.131290567,0.088436656,0.25,0,-0.3875,-0.9806136,-0.3375,0.096153846,-0.225,0.125,0.157097099,-0.185633704,0.125,0.096153846,-0.375,0,-0.118395913,-0.269922968,0.6875,0.6875,1.0125,1.0125,1.278899633,0,1.0125,1.0125,0,0.125,0.25,0.663650075,0.663650075,0.663650075,0.625,-0.371369295,1.25,-0.675,0.880291401,0,0.125,-1.35546519,0.125,-0.375,0.25,0.125,-0.151335473,-0.622268568,1.065313352,-1.002099592,-0.483585559,-0.762521646,0,-0.305555556,-0.687678967,-0.736790515,0,-0.674850685,0,1,-1,0.820838014,0,0,0.509259259,0,0.138888889,0,0,0.528846154,-0.875,0.125,0.528846154,0.500153648,0,-0.666666667,-0.375,0.096153846,0.096153846,-0.055555556,0.422591658,-0.4375,0.562805408,-0.287419274,0.207492244,-0.311026788,0.6875,-0.762221709,0.05777816,1.540429428,-0.69377223,0.046639027,-0.730541537,-0.861864978,0.062246416,-0.456815855,-0.669442965,-0.595637629,0.6875,0.096153846,0.138888889,0.131147541,0.041666667,-0.375,-1.089795618,0.25,-0.731781732,-0.418571516,0,0.096949686,0.389103977,0.913095002,0,-0.455205328,-0.956629561,-0.825,1.131460771,0.467325592,0.301035179,-0.36326132,-0.68053648,1.021091887,-0.588775634,-0.576662773,-0.132966419,0.500500501,0.341613875,-0.059782609,0.281630165,0.173022946,0.25,0,-1.275482941,1.020542132,0.25,-0.666666667,0.096153846,0.041666667,0.9375,-0.416666667,-0.416666667,-0.75,0.9375,0.45,-0.555555556,0.552072476,1.335245288,0.262913784,0.128333606,0,0.5,-0.30159414,-0.471562831,0.096153846,-0.842105263,1.029119132,0.008299359,-0.555555556,0,0.533546852,0,-1.060137827,0.515646711,0,0.515625,-0.371369295,1.1875,-0.022349459,0,0.815315315,0.514705882,-0.054618291,-0.625,0.910240419,-0.555555556,0,-0.703752838,-0.6,0.439034775,0.75,-0.555555556,0.578947368,-0.555555556,-0.291666667,-0.42519685,0,-0.42519685,0.406876252,-0.611111111,0.595096933,0.578947368,-1.129453197,-0.675,0,0,0,0,0,0,0,0,0
Negative_6,0,0.769230769,0.769230769,0.20434177,0.5,0,-0.5,-0.5,1.671465306,-0.791666667,-0.322580645,-0.475308642,1,0.236569626,0.769230769,-0.5,-0.5,0.667472411,0,0.717063663,0.28513449,0.5,1,-0.45,-0.287810038,-0.4,-0.384615385,-0.35,1,0.616190852,0.596166551,1,0.769230769,0.5,0,0.528709518,0.218959943,0,0,-0.425,-0.425,0.397682952,-0.555555556,-0.425,-0.425,-0.5,1,1,0.353946707,0.353946707,0.353946707,0.333333333,-0.269709544,0,-0.8,0.579072743,0,0,-0.06300685,0,0.5,1,1,0.249445,1.021029515,0.616817435,0.390236261,-0.758519602,-0.812141711,1,-0.475308642,-0.88931105,-0.816317422,1,-1.121068572,0,0,0,-1.109301424,0,0,0,0,2.222222222,1,0,0,0,1,0,-0.42557402,0,0,0.5,0.769230769,0.769230769,-0.888888889,1.192101398,1,-0.065882381,-0.340220449,0.069651899,-0.532664446,0,0.382482298,-0.791302897,-0.178465093,0.762547561,0.220833844,-0.265622925,-0.64496288,0.257682917,-0.070574411,0.38481511,0.209684264,0,-0.384615385,2.222222222,1.049180328,0,0.5,0.22728443,0.5,0.108881761,-0.124424702,0,-0.225465409,0.410122877,0.682320443,1.133298513,0.417318586,1.587943417,0.244444444,1.428548897,-0.526408556,0.158539552,-0.716884538,-1.221941522,0.067223356,1.033832356,-0.813226877,0.880813932,0.099099099,0.51419124,0.239130435,0.541026516,0.251408843,1,0,-0.182914822,0,1,0,0.769230769,0,-0.25,0.333333333,0.333333333,0.166666667,-0.25,0.2,0,0.317214248,-0.644913833,1.421031053,1.349196686,1.000816493,0,0.753123654,-0.456446936,0.769230769,0.105263158,0,-0.066694677,0,-1,-0.510221376,0,0.013969515,-0.329607896,0,0,-0.269709544,0.5,0.510400069,0,0,0,1.069328052,-1,-0.773363032,0,0,-1.110578641,-1.155555556,0.68301514,1,0,0,0,-0.666666667,-0.932633421,0,-0.932633421,-0.03195657,0.181069959,-0.835121505,0,0.517354795,0.325,0,0,0,0,0,0,0,0,0
Negative_7,1.481481481,-0.384615385,-0.384615385,-2.412737381,-0.5,0,0,0,1.636949567,-0.125,0,1.561728395,-0.5,0.62882547,-0.384615385,-0.5,-0.5,-0.57085415,0,-0.59172873,-0.474147604,-1,0,3.05,0.476960604,3.1,-0.384615385,1.65,-0.5,3.376482985,-1.074608754,5,-0.384615385,-0.5,0,3.033759928,-2.513591378,2,2,-0.425,-0.425,-0.507442708,-0.555555556,-0.425,-0.425,-0.5,5,3,-0.353946707,-0.353946707,-0.176973353,0.166666667,0.730290456,20,1.2,1.258198071,0,5,-0.340447919,5,0,3,-0.5,-1.205526791,1.024062174,-0.512537735,1.926790493,1.563050369,1.575059301,1,1.561728395,1.406327536,0.954544765,0,0.982394086,0,1,-1,-1.87861899,0,1,1.481481481,-0.5,3.333333333,0,0,1.538461538,1.5,0.5,1.538461538,-0.379911491,0,0,-0.5,-0.384615385,-0.384615385,-0.444444444,3.656161284,1.5,-1.875467529,0.582422738,1.402164854,1.066769351,2,1.713890177,-1.18053426,-0.216500726,1.406162744,1.274041407,0.872535016,1.242721002,1.886231028,0.267061678,0.223011253,0.161836642,2,-0.384615385,3.333333333,0.524590164,0,1,2.238490492,-1,-0.172490131,0.10288262,0,-0.310823899,-0.339951667,1.421963966,2.642390891,-1.217131127,0.593457229,-0.977777778,1.179522978,-2.531383346,-0.528497533,0.896934623,-0.954731999,0.375354743,-0.670020384,1.420351715,-1.355768952,1.502002002,-0.908096611,0.239130435,0.038241729,0.192926396,3,-1.5,1.34754234,0.851565815,3,0,0.384615385,0,-0.25,0.333333333,0.333333333,-0.166666667,-0.25,0.771428571,0,1.664322016,-0.17729903,-0.039759592,-0.162687111,3.070014289,1.666666667,0.58250754,0.537083772,0.384615385,1.052631579,0.858722678,-0.498607349,0,-1,-2.741618619,-1.5,0.452744553,-1.695497433,-1,1.03125,0.730290456,-0.5,-0.909693854,0,0.851351351,-1.764705882,0.827825961,0.5,-2.539930703,5.55E-16,-0.5,1.438971153,0.177777778,1.170510258,-0.5,0,1.684210526,0,0.333333333,0.318460192,1.2,0.318460192,-0.339527489,0.633744856,-1.076870641,1.684210526,1.84361386,0.575,0,0,0,0,0,0,0,0,0
Negative_8,2.592592593,0.269230769,0.269230769,-0.68032546,-0.15,0,-0.525,-0.525,0.985172019,-0.525,0.64516129,0,-1.05,0,-0.076923077,-0.55,-0.55,-0.656199181,0,-0.590799257,1.178362328,-1.1,0,-0.5,0.774279547,-0.45,-0.423076923,0,-0.1,-0.248303902,-0.931906557,4.4,-0.076923077,-0.15,0,-0.209662495,-0.384649524,2.15,2.15,-0.45,-0.45,-0.507442708,-1.5,-0.45,-0.45,-1.35,4.4,1.6,-0.053092006,-0.053092006,-0.053092006,-0.05,0.730290456,-1,0,-0.364327009,0,-0.1,0.687010541,-0.1,-0.6,1.6,-0.1,-0.672749469,0.669186448,-0.512537735,0.798329974,0.844324445,0.930125586,1,0,0.684634275,0.509922176,0,0.433119556,0,1,-1,-0.920281409,0,0,2.592592593,-1.35,0.888888889,1,0,2.692307692,1.15,-0.1,2.692307692,-0.416035959,0,-0.152380952,-0.15,0.269230769,0.269230769,0.444444444,-0.020597159,0.35,-0.614151417,0.317238894,0.261939011,0.403917352,2.15,0.87218752,-0.003039501,-0.38115132,0.616807086,0.435821165,0.401412275,0.481851639,-0.375671788,0.962416017,0.734116989,0.50682552,2.15,-0.423076923,0.888888889,-0.104918033,-0.033333333,0.3,1.01170874,-1.1,0.494410949,0.497856475,0,-1.197201258,-0.490312741,-0.185957385,0.954975005,-0.829931244,0.79739952,-0.55,0.224753632,-0.546040031,-0.565263626,0.645456724,-0.249769766,-0.545690065,0.469881617,0.661208732,-1.018212906,0.04954955,-0.924766843,-0.167391304,0.325672057,-0.441676687,1.6,0,0.762002421,0,1.6,-0.152380952,-0.076923077,-0.033333333,-0.525,0.333333333,0.333333333,-0.3,-0.525,-0.128571429,-0.055555556,0.505779537,-0.256171128,-0.977460526,0.089381203,1.077770974,1.1,-0.922016372,0.08226142,-0.076923077,1.263157895,0,-0.503143345,-0.055555556,-1,-0.599081223,0,0.285036329,-1.01491511,0,0.825,0.730290456,-0.5,-1.049046645,1,0,0.117647059,0.60399617,0.5,-1.230582662,-0.055555556,-1.35,0.382686398,0,0.609267811,-1.05,-0.055555556,1.810526316,-0.055555556,-0.066666667,0.768153981,1,0.768153981,-0.525989061,0.407407407,-1.203452937,1.810526316,1.163523813,0.45,0,0,0,0,0,0,0,0,0
Negative_9,-0.37037037,0.384615385,0.384615385,0.615873522,0,0,1,1,-0.795942308,1.208333333,0.322580645,0.203703704,0.5,-1.364118744,0.384615385,0.5,0.5,1.279042197,0,1.297218641,-0.540331608,2.50E-16,0,0.05,0.043997841,0.1,0.384615385,-0.35,0.5,-0.801484053,1.244304861,0,0.384615385,0,0,-0.72162879,0.570735331,-0.5,-0.5,-0.425,-0.425,0.488057049,0,-0.425,-0.425,0,0,0,-0.53092006,-0.53092006,-0.53092006,-0.5,-0.269709544,0,-0.8,-0.578315575,0,0,0.314920845,0,0,0,0.5,1.170336306,0.28511885,0.496059695,0.126239064,0.135652319,0.57094315,0,0.203703704,0.337639335,0.258201162,0,0.154378576,0,0,0,-0.257209827,0,0,-0.37037037,0,-1.111111111,0,0,-0.384615385,0,0.5,-0.384615385,-1.054274948,0,0.380952381,0,0.384615385,0.384615385,0,-0.491398758,0,0.095260605,-0.998900024,-0.15258463,-0.352920985,-0.5,0.017686136,-0.063345537,-0.530113001,0.372931367,-0.001287172,-0.086967222,-0.317331181,-0.345579626,0.409486854,0.754572158,0.830513553,-0.5,0.384615385,-1.111111111,0.524590164,1,0,0.007086547,0,0.470592782,0.734887155,1,-1.669314465,1.001830522,-0.343834206,0,0.53617616,0.285125419,-0.366666667,-1.343881253,0.017004736,0.756718294,0.056051352,0.624613018,-0.030330974,-0.070257892,0.035847549,1.411877778,-1,1.157209406,0,-0.738843074,0.662232803,0,0,0.152888162,0,0,0.380952381,0.384615385,1,-0.5,-0.333333333,-0.333333333,0.166666667,-0.5,-0.514285714,0.555555556,-0.130557514,-0.030367754,0.778205791,0.812071329,0,-0.333333333,0.542869453,-0.676640362,0.384615385,-0.368421053,0,0.685707145,0.555555556,0,0.011844692,0,1.090603267,-0.085228706,0,-0.34375,-0.269709544,0.5,1.184816435,1,0,0,-0.802889574,-1,-0.078128978,0.555555556,0,0.052752001,0.177777778,0.343437407,0.5,0.555555556,-0.421052632,0.555555556,0.666666667,0.003499563,0,0.003499563,0.5431935,-0.271604938,1.641694848,-0.421052632,-0.054840967,0.075,0,0,0,0,0,0,0,0,0
