,MSW__8,MSW__2,MSW__3,DDE_MW,MSW__6,Cougar__21,formula_H,MSW__9,Hopp_woods,Calculate_mw,DDE_IT,DDE_CF,DDE_WI,Ez__9,Ez__12,Z5__61,Length,MSW__17,MSW__22,Cougar__25,Cougar__24,Z3__6,MSW__11,DDE_ME,MSW__20,Ez__1,MSW__18,Boman_Index,QSO3_G2,QSO3_SC_L,DDE_PM,DDE_MP,Ez__14,DDE_NW,Aliphatic_Index,QSO3_SC_S,DDE_TM,DDE_EW,MSW__4,Cougar__23,DDE_AC,CTDD_polarizability.3.residue100,Z5__6,Ez__11,CTDD_normwaalsvolume.3.residue100,QSO3_SC2,QSO3_SC3,DDE_QC,OVPC_Aliphatic,MSW__19,MSW__5,DDE_CN,MSW__13,DDE_YL,DDE_PF,DDE_MH,DDE_MY,DDE_WD,DDE_HC,QSO3_G3,DDE_HI,DDE_YW,DDE_FA,DDE_MF,DDE_HR,DDE_HN,QSO3_SC1,DDE_CM,Cougar__6,MSW__10,DDE_WK,DDE_IH,QSO3_G1,DDE_WC,DDE_RQ,DDE_WL,DDE_FW,DDE_AH,DDE_CA,DDE_VW,DDE_WW,DDE_WS,DDE_CY,DDE_CW,DDE_WH,DDE_CK,DDE_MN,DDE_VY,DDE_TH,Ez__8,DDE_QW,DDE_CC,DDE_MC,DDE_HH,DDE_CQ,DDE_PW,DDE_AR,DDE_SM,DDE_YQ,DDE_WE,DDE_CR,DDE_WA,CTDD_hydrophobicity_PRAM900101.1.residue100,DDE_NA,DDE_WV,MSW__7,DDE_MK,DDE_CV,CTDD_hydrophobicity_PRAM900101.1.residue75,DDE_FI,DDE_WF,DDE_NM,Ez__10,DDE_LM,DDE_EL,DDE_DQ,DDE_TI,DDE_QG,DDE_HG,DDE_YG,DDE_CI,DDE_TQ,DDE_DH,DDE_YI,MSW__21,DDE_IM,DDE_DC,DDE_YE,MSW__14,Z5__31,DDE_AM,Ez__7,DDE_EQ,DDE_TP,DDE_YA,Ez__15,Z5__64,ABHPRK__56,DDE_NP,Cougar__22,DDE_ID,DDE_PY,DDE_DA,DDE_HA,DDE_PC,DDE_QI,MSW__12,DDE_MM,DDE_FQ,DDE_EH,y,MotifBitVec_FATP,MotifBitVec_AEEA,MotifBitVec_ALQP,MotifBitVec_AVI,MotifBitVec_LMK,MotifBitVec_SLADTN,MotifBitVec_VFGI,MotifBitVec_RLAE,MotifBitVec_LLD,MotifBitVec_IPRHL,MotifBitVec_ALAG
EpitopeID911343negative,-1.442288047,-0.153756384,-0.045364182,-1,-0.836159705,1.239703812,0.857142857,-0.97068943,-0.511201608,0.508514862,-1,-1,-1,-0.879488454,-0.992712858,-0.745040385,1,1.675557723,-1.157751489,0.662435384,0.751044543,0.385862408,0.7482039,-1,1.39601203,-0.838150001,1.649670408,-1.130220493,-1.666323378,0.059611843,-1,1806.298111,-0.645238287,-1,0.688654354,1.336735114,-1,-1,-0.567868167,0.796123852,-1,0.345714286,0.179863303,-1.148625374,0.345714286,-1.666323378,-0.664022213,-1,0.818181818,1.422911603,1.243683671,-1,0.660939432,-1,902.6490555,-1,-1,-1,-1,-0.664022213,-1,-1,-1,-1,-1,-1,-1.05833647,-1,1.129085477,-0.834037645,-1,-1,-1.05833647,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,902.6490555,-1,-1.093811875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.75,-1,-1,-1.003578156,-1,-1,-1.212121212,-1,-1,-1,-0.774848001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1203.865407,-0.92130381,-1,-1,-1,0.415713,1.005603063,-1,-0.904156563,-1,-1,-1,-0.772172909,-0.772777515,1.173913043,-1,1.006382703,-1,-1,-1,-1,-1,-1,0.091334708,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
EpitopeID58547negative,-0.192723595,0.648493452,0.777592169,0,-1.090320043,0.342416948,0.142857143,-0.285389937,1.261731479,-0.476157035,0,0,0,-0.223490115,-0.202381461,0.057263216,0,-0.405569401,0.120684688,-0.331455338,-0.325734975,0.670591384,0.56184239,0,0.351465987,0.031180498,-0.415681446,-0.151534803,0.556814281,0.350191245,0,0,-0.473579936,0,1.051451187,0.879469981,0,0,0.767726035,0.65579388,0,-0.628571429,0.928859651,-0.442858198,-0.628571429,0.556814281,-0.744942483,0,1.045454545,-0.276242752,0.77331063,0,-0.259734223,0,0,0,0,0,0,-0.744942483,0,0,0,0,0,0,0.763266842,0,0.239378359,-0.564955835,0,0,0.763266842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.352002635,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,-0.143167773,0,0,0.303030303,0,0,0,-0.270010091,0,0,0,0,0,0,0,0,0,0,0,0.33586324,0,0,0,-0.38324657,-0.185522496,0,-0.219511789,0,0,0,-0.339198121,-1.009202011,0.608695652,0,0.357559552,0,0,0,0,0,0,-0.057593224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EpitopeID27513negative,0.605275978,0.232751956,-0.145547776,0,-0.971820059,0.01810127,0.285714286,-0.151131023,1.516393931,-0.075870731,0,0,0,-0.593681735,-0.095064467,0.82830741,0,-0.323599523,0.423339953,0.805938889,0.967834016,1.118531266,0.147814309,0,-0.477551653,0.473479218,-0.934551547,0.069390402,0.782011672,0.333305001,0,0,-0.73895164,0,0.668865435,0,0,0,0.62269062,0.524851795,0,0.314285714,1.16710908,-0.061911405,0.314285714,0.782011672,-0.400634669,0,0.590909091,-0.11261185,0.78323618,0,-0.772429592,0,0,0,0,0,0,-0.400634669,0,0,0,0,0,0,0.302596914,0,-0.349787859,-0.05822942,0,0,0.302596914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162365397,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,-0.12017682,0,0,0.909090909,0,0,0,-0.554441755,0,0,0,0,0,0,0,0,0,0,0,0.470666159,2555.9055,0,0,-0.420229761,-0.337372775,0,-0.266112507,0,0,0,-0.434894566,2.116648635,0.608695652,0,0.094506756,0,0,0,0,0,0,-0.088274037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EpitopeID598858negative,-0.161822257,-0.357225113,0.140721802,-1.945823516,0.069915934,0.480072853,1.571428571,0.231738587,-0.748099087,0.995232758,-1.945823516,-1.945823516,-1.945823516,-0.891946349,-0.61012323,-1.042142018,2,1.001787843,-0.021424523,0.992404325,0.540926439,-0.007911449,-0.264208056,-1.945823516,0.671987107,0.081623193,0.981249407,-0.836163188,-0.904222451,1.45267035,-1.945823516,-1.945823516,-0.631898707,-1.945823516,0.402614536,0,-1.945823516,-1.945823516,-0.513777976,0.182411668,-1.945823516,0.371428571,-0.143973352,-0.65429572,0.371428571,-0.904222451,-0.257834193,-1.945823516,0.260330579,0.825844507,-0.366531131,-1.945823516,0.185119705,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-0.257834193,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-0.296575085,-1.945823516,0.576223215,0.423117457,-1.945823516,-1.945823516,-0.296575085,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-0.927659067,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,0.295454545,-1.945823516,-1.945823516,-0.096893919,-1.945823516,-1.945823516,1.267217631,-1.945823516,-1.945823516,-1.945823516,-0.981907208,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-1.945823516,1141.089865,-0.186988159,-1.945823516,-1.945823516,-1.945823516,-0.509014185,0.289288575,-1.945823516,-0.554126834,-1.945823516,-1.945823516,-1.945823516,-1.155085518,-0.579355625,0.213438735,-1.945823516,0.088357804,-1.945823516,855.3309427,-1.945823516,-1.945823516,-1.945823516,-1.945823516,-0.275773829,-1.945823516,-1.945823516,-1.945823516,0,0,0,0,0,0,0,0,0,0,0,0
EpitopeID911291negative,-0.881713463,0.886470941,1.060558128,0,-1.034539276,0.428801325,0.071428571,-1.186106035,-0.709562523,-0.556916553,0,0,0,-0.544928252,-0.120858046,-0.631586637,0,0.068588146,0.180465666,0.157424637,0.524080941,0.989773697,0.46290853,0,-0.171919674,-0.000585855,0.555678908,-0.599437959,-0.265705458,0.560532653,0,0,-0.276995743,0,0.536939314,0,0,0,1.261741574,0.860056697,0,-0.628571429,0.9881212,-0.185328073,-0.628571429,-0.265705458,-0.094406981,0,0.590909091,0.611301965,0.901901645,0,0.645268391,0,0,0,0,0,0,-0.094406981,0,0,0,0,0,0,-0.34926609,0,0.209044044,-0.671065859,0,0,-0.34926609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11052734,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,-0.820671004,3833.85825,0,0.303030303,0,0,0,-0.363705826,0,0,0,0,0,0,0,0,0,0,0,-0.337624484,0,0,0,0.631809935,0.500679258,1916.929125,-0.250829404,0,0,0,-0.185386882,-0.500560479,0.608695652,0,-0.091972965,0,0,0,0,0,0,0.372738541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EpitopeID911447negative,-0.044312023,0.276138263,-1.002072446,0,0.443787629,-0.369819205,0.214285714,0.119997576,1.469744673,0.145934339,0,0,0,0.735928956,0.607047397,0.737065024,0,-0.121627479,0.500822701,-1.928370049,-0.653495393,0.100498587,-1.079398437,0,0.543568269,0.49919897,0.265879836,0.353004756,1.02917954,-0.289559428,0,0,0.058853552,0,-0.360158311,0,0,0,-1.742511594,-0.882159126,0,-0.314285714,0.145015522,0.151181611,-0.314285714,1.02917954,-0.095993653,0,-0.318181818,0.15054844,-1.341419705,0,-1.180142268,0,0,0,0,0,0,-0.095993653,0,0,0,0,0,0,0.084305608,0,-0.362156192,0.3974462,0,0,0.084305608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.038377192,0,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0.641869861,3833.85825,0,-0.909090909,0,0,0,0.871052552,1277.95275,0,0,0,0,0,0,0,0,0,0,0.363787239,0,0,0,-0.65773119,-0.861418247,0,0.536002181,0,0,0,0.836580455,-0.495147072,-0.260869565,0,-0.759692746,0,0,0,0,0,0,-0.664939945,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EpitopeID911353negative,-0.11391986,0.843036693,0.065201981,0,-0.820867798,-0.164813097,0.214285714,0.499277376,-0.605832549,-0.221886099,0,0,0,0.665872374,0.100223183,-0.017025992,0,-0.678621736,0.187216341,0.177347147,-0.164053608,0.805180218,0.130987872,0,0.299030318,0.4373732,0.384567695,-0.08279291,-0.6048747,0.978268877,0,0,0.758191316,0,0.536939314,0.890333731,0,0,-0.318527527,-0.36338382,0,-0.942857143,0.836982932,0.02184541,-0.942857143,-0.6048747,1.181277271,0,0.590909091,-0.836716823,0.013234067,0,-0.432713298,0,0,0,0,0,0,1.181277271,0,0,0,0,0,0,0.109898382,0,-0.288035369,0.145671239,0,0,0.109898382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307758449,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,-1.082208296,0,0,0.303030303,0,0,0,0.45642421,0,0,0,0,0,0,0,0,0,0,0,0.480526115,0,0,0,-0.245054915,0.239950074,0,0.040578911,0,0,0,0.425062012,1.318034405,0.608695652,0,-0.510493279,0,0,0,0,0,0,-0.143232713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EpitopeID138808negative,0.088510516,-0.127983928,-0.28598472,-8.920243462,-0.087643003,-0.036376522,6.642857143,0.612642441,0.407851185,6.27868786,-8.920243462,-8.920243462,-8.920243462,0.083729297,0.006888659,-0.149469521,11,-0.696292009,0.092233158,-0.189085448,-0.041006946,0.142912859,-0.374887416,-8.920243462,-0.580010587,0.362722272,0.124530298,-0.133138781,0.942670786,2.252897011,-8.920243462,-8.920243462,0.087663069,-8.920243462,0.635224274,0,-8.920243462,-8.920243462,-0.187701783,-0.033871197,-8.920243462,-0.644285714,0.446548802,0.034085795,-0.644285714,0.942670786,1.157477192,-8.920243462,0.613636364,-0.439506331,0.163123657,-8.920243462,0.060109214,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,1.157477192,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,1.407602559,-8.920243462,-0.107807553,-0.288014723,-8.920243462,-8.920243462,1.407602559,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-0.045143014,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,0.3875,-8.920243462,-8.920243462,0.735840818,-8.920243462,-8.920243462,-0.121212121,-8.920243462,-8.920243462,-8.920243462,0.266621671,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,1.076759951,-8.920243462,-8.920243462,-8.920243462,0.164848591,0.11062202,-8.920243462,0.202076358,-8.920243462,-8.920243462,-8.920243462,0.625470157,0.072752449,0.391304348,-8.920243462,0.442680534,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,-8.920243462,0.23020264,-8.920243462,-8.920243462,-8.920243462,0,0,0,0,0,0,0,0,0,1,0,0
EpitopeID911450negative,0.722906837,0.198522317,-0.482914223,0,-0.145980616,-0.35897564,0.714285714,0.240027786,1.40345558,0.432401043,0,0,0,0.000763413,0.536543406,1.088303763,0,0.016686532,0.889586578,-0.119949452,-1.055072004,0.47517519,-0.373386303,0,0.000519232,1.014114762,-0.058810469,0.53718115,1.198077583,0.285819521,0,0,-0.038993029,0,0.405013193,0,0,0,-0.076358303,-1.095773205,0,0,0.712462621,0.225287456,0,1.198077583,-1.530345101,0,0.590909091,0.522349964,-0.003234994,0,-0.853839322,0,0,0,0,0,0,-1.530345101,0,0,0,0,0,0,1.232969514,0,-1.144112008,0.195738834,0,0,1.232969514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46590955,0,0,0,0,0,0,0,0,0,3833.85825,0,0,0,0,0,-0.818542212,0,0,0,0,0,0,0.69658697,0,0,0,0,0,0,0,0,0,0,0,0.131287957,0,0,0,0.349978209,-0.617059917,0,0.632512112,0,0,0,0.165543796,-2.884537419,0.608695652,0,-0.401966618,0,0,0,0,0,0,-0.463513731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EpitopeID911673negative,-0.204026886,-0.901524311,-0.195241103,0,-0.299118216,0.829042195,0,-0.819423206,0.403789007,-0.032925034,0,0,0,-0.451004704,-0.49297835,-0.316643256,0,0.594213891,-0.827185099,0.077671047,0.145968494,0.86613094,0.455786968,0,0.199499649,-0.309685772,0.014201596,-0.624513619,-0.124270512,-0.125570194,0,0,-0.366713832,0,0.655672823,0,0,0,0.158190211,0.563282308,0,0.314285714,0.650614597,-0.444345696,0.314285714,-0.124270512,-0.181673939,0,1.045454545,0.032540484,0.329381215,0,-0.212389087,0,0,0,0,0,0,-0.181673939,0,0,0,0,0,0,-0.746706812,0,0.507372638,0.356000517,0,0,-0.746706812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.407715269,0,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0.174022222,0,0,-0.303030303,0,0,0,0.205448448,0,638.9763749,0,0,0,0,0,0,0,0,0,-0.5981983,0,0,0,-0.045444747,1.559771756,0,-0.465026706,0,0,0,0.039222491,0.660351025,1.043478261,0,0.663616506,0,0,0,0,0,0,0.020976339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
