,MSW__8,MSW__2,MSW__3,DDE_MW,MSW__6,Cougar__21,formula_H,MSW__9,Hopp_woods,Calculate_mw,DDE_IT,DDE_CF,DDE_WI,Ez__9,Ez__12,Z5__61,Length,MSW__17,MSW__22,Cougar__25,Cougar__24,Z3__6,MSW__11,DDE_ME,MSW__20,Ez__1,MSW__18,Boman_Index,QSO3_G2,QSO3_SC_L,DDE_PM,DDE_MP,Ez__14,DDE_NW,Aliphatic_Index,QSO3_SC_S,DDE_TM,DDE_EW,MSW__4,Cougar__23,DDE_AC,CTDD_polarizability.3.residue100,Z5__6,Ez__11,CTDD_normwaalsvolume.3.residue100,QSO3_SC2,QSO3_SC3,DDE_QC,OVPC_Aliphatic,MSW__19,MSW__5,DDE_CN,MSW__13,DDE_YL,DDE_PF,DDE_MH,DDE_MY,DDE_WD,DDE_HC,QSO3_G3,DDE_HI,DDE_YW,DDE_FA,DDE_MF,DDE_HR,DDE_HN,QSO3_SC1,DDE_CM,Cougar__6,MSW__10,DDE_WK,DDE_IH,QSO3_G1,DDE_WC,DDE_RQ,DDE_WL,DDE_FW,DDE_AH,DDE_CA,DDE_VW,DDE_WW,DDE_WS,DDE_CY,DDE_CW,DDE_WH,DDE_CK,DDE_MN,DDE_VY,DDE_TH,Ez__8,DDE_QW,DDE_CC,DDE_MC,DDE_HH,DDE_CQ,DDE_PW,DDE_AR,DDE_SM,DDE_YQ,DDE_WE,DDE_CR,DDE_WA,CTDD_hydrophobicity_PRAM900101.1.residue100,DDE_NA,DDE_WV,MSW__7,DDE_MK,DDE_CV,CTDD_hydrophobicity_PRAM900101.1.residue75,DDE_FI,DDE_WF,DDE_NM,Ez__10,DDE_LM,DDE_EL,DDE_DQ,DDE_TI,DDE_QG,DDE_HG,DDE_YG,DDE_CI,DDE_TQ,DDE_DH,DDE_YI,MSW__21,DDE_IM,DDE_DC,DDE_YE,MSW__14,Z5__31,DDE_AM,Ez__7,DDE_EQ,DDE_TP,DDE_YA,Ez__15,Z5__64,ABHPRK__56,DDE_NP,Cougar__22,DDE_ID,DDE_PY,DDE_DA,DDE_HA,DDE_PC,DDE_QI,MSW__12,DDE_MM,DDE_FQ,DDE_EH,MotifBitVec_FATP,MotifBitVec_AEEA,MotifBitVec_ALQP,MotifBitVec_AVI,MotifBitVec_LMK,MotifBitVec_SLADTN,MotifBitVec_VFGI,MotifBitVec_RLAE,MotifBitVec_LLD,MotifBitVec_IPRHL,MotifBitVec_ALAG,y
pos_0,-0.8093580819798916,-0.9020325328249441,0.04071737622617828,7228.192443726857,0.007891885343545482,1.1271916588284734,1.0666666666666667,-0.12630641694150832,-0.5957502125771981,1.2770696075623038,601.4327036439042,1806.2981109317136,2408.73081457562,-0.7809187548976368,-1.7515784989750003,-0.13333599293137918,1.0,1.60279487576739,-0.6785414078868803,1.4001467287073923,0.7005170592306139,-0.6027618880131586,-0.34015071476359143,-1.0,1.3661088637788785,-0.3338407219505132,1.6905839528523554,-1.4729447845143349,-0.7935429056924382,1.47515178772206,-1.0,-1.0,-0.97268522155423,-1.0,0.5060557974257777,0.0,-1.0,-1.0,-0.11007004398110438,0.8779167279682213,-1.0,0.040229885057471375,-0.7712250776685526,-1.4806173222412502,0.040229885057471375,-0.7935429056924382,-0.2918918918918919,1806.2981109317136,0.2364532019704435,2.4627965496131314,-0.31321535997499894,-1.0,-0.282425532061413,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.2918918918918919,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.2994051553205554,-1.0,0.48918878712797376,-1.7675378912298811,-1.0,-1.0,-1.2994051553205554,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.40785262109680637,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.06206896551724153,-1.0,-1.0,-0.5792571456804764,-1.0,-1.0,0.6756318550309965,-1.0,-1.0,-1.0,-1.5351137880306878,1203.865407287811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,902.6490554658601,-1.0,-1.0,-0.6355907811272646,-1.0,-1.0,-1.0,0.21436379276119893,0.20715436513189944,-1.0,-1.3379666567631154,-1.0,-1.0,-1.0,-1.955915262455588,-1.2206242511562029,1.5794871794871794,-1.0,1.0392960731146328,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3379522709776751,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_1,0.0,-0.4340044666295395,0.6319384351157644,-1.0,0.7073474085191441,0.335031719666193,0.2,-0.5206074872382733,-0.678613567053567,0.7098968776854784,-1.0,-1.0,-1.0,-0.7417397231918031,-0.6392218879511549,0.538544963460078,1.0,0.7250086050838812,-0.08918929884462032,0.5762132031913497,0.3794553299926718,-1.909365954447889,0.062393982951531035,-1.0,0.07053890890312403,-0.03780417737718373,0.6605437001656332,-0.2222153242528466,-0.6779949022939675,0.019518776703395496,-1.0,-1.0,-0.7668470400133086,-1.0,-0.3318007351046372,0.0,-1.0,-1.0,-1.564964978009448,0.4795894802073999,-1.0,0.040229885057471375,-1.8643007328160461,-0.08064309436061591,0.040229885057471375,-0.6779949022939675,0.1027027027027026,-1.0,-0.4729064039408866,0.7865129430456848,-0.5878667135434977,-1.0,0.8576199871224092,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1027027027027026,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.44943820224719105,-1.0,-0.3026466227779285,-1.0309229975130219,-1.0,-1.0,0.44943820224719105,-1.0,-1.0,1203.865407287811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8110235436375278,-1.0,-1.0,-1.0,-1.0,-1.0,1806.2981109317136,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3931034482758619,-1.0,-1.0,0.18242174954914894,-1.0,-1.0,1.2043872198378633,-1.0,-1.0,-1.0,-0.10310563798850064,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3736498793076095,-1.0,-1.0,-1.0,-0.33784953351419306,-0.9422310368858703,-1.0,-0.3963670313673339,-1.0,-1.0,-1.0,0.0,-1.1959286529594935,0.2871794871794873,-1.0,-0.154901061318206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.432281241981011,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_2,-0.3819477885274847,0.30513616842450525,0.6138520989530006,0.0,-1.1053889072101117,0.4958274129960575,0.6666666666666666,-0.694031479822653,0.9916103836139541,-0.28616442280149007,0.0,0.0,0.0,-0.12350351845618446,-0.7237679744652402,0.40517498677588787,0.0,0.04078144849158734,-1.065465304262611,-0.4654011315654118,0.4045657088162522,1.9963876888404113,-0.28440496688455086,0.0,-0.21637505994024434,0.4451618895005189,-0.8281171757636456,-0.8153813680328788,0.7782497875955822,0.8736676411063639,0.0,0.0,0.17986580592690476,0.0,1.3844922759761842,0.0,0.0,0.0,0.532694792854428,0.8813870647032334,0.0,0.0,2.0270592450993123,-0.49005507235300333,0.0,0.7782497875955822,0.7459459459459458,0.0,1.1822660098522166,-0.18657723342526453,0.7919746865111917,0.0,0.5437510975219246,0.0,0.0,0.0,0.0,0.0,0.0,0.7459459459459458,0.0,0.0,0.0,0.0,0.0,0.0,-0.3370786516853932,0.0,0.34019313223703534,-1.577495190277321,0.0,0.0,-0.3370786516853932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2347535386585105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6436781609195404,0.0,0.0,-0.31783146816868013,0.0,0.0,-0.2937529804482594,0.0,0.0,0.0,-0.04330436795517033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176958169527419,0.0,0.0,0.0,0.20681179558437549,1.133438076849102,0.0,-0.4129215379156968,0.0,0.0,0.0,-0.5668744685787936,-0.5271722476617957,1.4358974358974357,0.0,0.63212198794819,0.0,0.0,0.0,0.0,0.0,0.0,1.0150243777264563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_3,0.29379532752557297,-0.7585867593247441,0.6701852891633914,0.0,0.2714038618146087,0.34632672256799185,0.13333333333333333,0.6034611244514365,-0.6444377330430484,0.057791463763964074,0.0,0.0,0.0,0.5162184144338324,-0.1711256060511941,1.127787775896358,0.0,0.4045250136469817,-0.3654139644335143,-0.5947297281133002,-0.5075962885937968,-0.263543374359968,-1.0254144120116724,0.0,-0.0978224785137281,0.09192181702842397,-0.2713011825430455,-0.3933498056842028,0.3160577740016993,-0.015381155835394652,0.0,0.0,0.9373691677102445,0.0,0.10741750417056602,0.0,0.0,0.0,-1.3792778411250475,0.016492124422093513,0.0,0.0,-0.26518099269227713,-0.4841328170614986,0.0,0.3160577740016993,0.7279279279279277,0.0,0.0,0.0123257351932499,-0.5830540255478729,0.0,0.4017808261628566,0.0,0.0,0.0,0.0,0.0,0.0,0.7279279279279277,0.0,0.0,0.0,0.0,0.0,0.0,-0.26834104428288186,0.0,0.22883026413321872,-0.6685561447139976,0.0,0.0,-0.26834104428288186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4389928159897576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39080459770114956,0.0,1916.9291247981778,0.5405580671459276,0.0,0.0,-0.8812589413447779,0.0,0.0,0.0,0.28553440200127816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20136880268944263,0.0,0.0,0.0,0.20131542380731818,0.40505266733775774,0.0,0.2722418850976554,0.0,0.0,0.0,0.4512988840058309,-1.971594941774318,0.9572649572649574,0.0,0.06347734821756638,0.0,0.0,0.0,0.0,0.0,0.0,0.031710289966641055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_4,-0.6103474441477328,0.7838524850609351,-1.0623509594741884,0.0,-0.27315372552714673,1.2478136444595647,-0.4,-0.15091044585124241,-1.1776996121534797,-0.37267258665138936,0.0,0.0,0.0,-1.41775509349082,-1.405880804262104,0.015071055594464599,0.0,1.4908729001984045,-1.8979897882115015,0.4756880898553848,0.7078231864024463,-1.2294326728426987,1.5352443436619783,0.0,1.1417048849762081,-1.2134416531948957,1.4632236816763609,-1.0031785842883572,-1.0450297366185215,-0.4910276590960198,0.0,0.0,-1.422364754647579,0.0,-0.35805834723522,1.3097297779363235,0.0,0.0,-0.4070999619916383,0.7945180806148878,0.0,-1.6091954022988504,-1.4946474876730036,-0.8663137959932357,-1.6091954022988504,-1.0450297366185215,-0.5117117117117117,0.0,-0.3940886699507389,1.799356686711342,0.4756498300714872,0.0,0.04352212432039711,0.0,0.0,0.0,0.0,0.0,0.0,-0.5117117117117117,0.0,0.0,0.0,3833.8582495963556,0.0,0.0,-1.0165234633179117,0.0,0.398418119591271,0.6759889259068087,0.0,0.0,-1.0165234633179117,0.0,0.0,0.0,3833.8582495963556,0.0,0.0,0.0,0.0,1277.9527498654538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1126623515186005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6551724137931036,0.0,0.0,-0.5828577781071667,0.0,0.0,-1.1750119217930375,0.0,0.0,0.0,-1.4043692411950637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8465618436216502,0.0,0.0,0.0,0.35163192836189594,0.7076431959594648,1916.9291247981778,-1.543104388234581,0.0,0.0,0.0,-1.3745159875395938,0.08685800306745325,0.9572649572649574,0.0,0.5203125112580426,0.0,0.0,0.0,0.0,0.0,0.0,0.11716063638696439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_5,1.2084446000963094,-0.3840082818281521,0.018020279420021684,0.0,0.956592162853983,0.01301606996337714,0.0,1.5032631523481899,0.34366805171436476,0.4445001432254368,0.0,0.0,0.0,0.8775900850468142,0.14657946037408767,0.43970543474085183,0.0,0.10980894714973277,-0.022884455735392908,-0.14652934773507487,-0.6344604482716887,0.24932895852128534,-1.475406930273914,0.0,-0.2641797100736497,0.14799166980177247,-0.2303936674242133,-0.2649647996622756,-0.6066270178419708,1.072363391050146,0.0,0.0,0.9704925532455652,0.0,0.22677028658230575,0.0,0.0,0.0,-1.1099505891296084,-0.24163244925345842,0.0,0.0,0.03338042749719101,-0.15723570025070047,0.0,-0.6066270178419708,0.434234234234234,0.0,0.0,0.023504890368522997,-1.5443665768194066,0.0,-0.46519090855877726,0.0,0.0,0.0,0.0,0.0,0.0,0.434234234234234,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052875082617318105,0.0,0.012477655079896944,1.0108019332738962,0.0,0.0,-0.0052875082617318105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571662280389787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6436781609195404,0.0,0.0,0.9787297117023643,0.0,0.0,-0.2937529804482594,0.0,0.0,0.0,0.9634081221969554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22641166138856486,0.0,0.0,0.0,-0.7360938706191139,-0.0757450486208075,0.0,0.09340683114253345,0.0,0.0,0.0,1.213631517642606,-0.9031144812309516,0.4786324786324786,0.0,-0.0035161119103489418,0.0,0.0,0.0,0.0,0.0,0.0,-0.5228509109571464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_6,-0.5767266412759562,0.12427867121757212,-0.11472735079433237,0.0,-0.2029258618639637,-1.4147011146911086,0.8,-0.061183165596513156,0.8504862249768226,0.18705242050988358,0.0,0.0,0.0,0.5713002035518275,2.1010183730760916,-0.5055600374707807,0.0,0.6067247007066571,0.4278683203605332,0.1318644513821605,-0.516192514677646,1.2390544192364275,-1.075201976003202,0.0,0.8116462357526648,1.9694024200390698,0.7397153422441353,0.587293112653497,-0.5029736618521663,0.5740499212952551,0.0,0.0,0.7522631386810719,0.0,0.22677028658230575,0.0,0.0,0.0,0.027791714177118995,-0.7478807495285352,0.0,0.0,1.0131384026169556,0.2741149276558836,0.0,-0.5029736618521663,0.0,0.0,0.0,1.1668744842949248,0.11922653228641741,0.0,0.22697614202536248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06477197620621267,0.0,-0.9841475740512112,-1.893726244662381,0.0,0.0,0.06477197620621267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3833.8582495963556,0.0,0.0,1.180951703535102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36781609195402276,0.0,0.0,-0.5430037797376418,0.0,0.0,0.5875059608965185,0.0,0.0,0.0,0.16147550653999498,1277.9527498654538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2730832079903525,0.0,0.0,0.0,-0.3886490659255829,-0.30980434277606944,0.0,2.0235481442380077,0.0,0.0,0.0,0.7493680761068402,-0.4613606447481089,0.4786324786324786,0.0,-0.8338228830676637,0.0,0.0,0.0,0.0,0.0,0.0,0.28604054400821144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_7,-1.1993535583475607,0.3531564220042434,0.7053274763021433,0.0,-0.6718893368240871,0.2643879205107166,-0.4,-1.0757638486379066,-0.09532274084161395,-0.5449727871670015,0.0,0.0,0.0,0.06842461864731204,0.3518178725569367,-0.8814498946503658,0.0,0.8789284482074303,-1.2814202875030432,0.41377495484503785,0.007168693954401367,-0.020365683511563173,1.8006873305530668,0.0,0.9702573434483771,-0.8690827179869004,0.9463907399560881,-0.21989346776096066,-1.0144435004248087,0.2218124578367438,0.0,0.0,-0.1328897935795716,0.0,0.10741750417056602,2.8270757156871484,0.0,0.0,0.5898593690611936,-0.12387639823273192,0.0,0.0,-0.28701216696495324,-0.1775903423870492,0.0,-1.0144435004248087,-1.6810810810810806,0.0,0.0,1.0640262566824117,0.3940091409820696,0.0,0.6922221418807479,0.0,0.0,0.0,0.0,0.0,0.0,-1.6810810810810806,0.0,0.0,0.0,0.0,0.0,0.0,-0.9530733641771317,0.0,0.340506498003882,-1.3639716578292902,0.0,0.0,-0.9530733641771317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06103136780709841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4022988505747127,0.0,0.0,-0.40882309345586615,0.0,0.0,-0.8812589413447779,0.0,0.0,0.0,0.21315021831668296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.9527498654538,0.0,0.0,0.0,-1.2736370742559209,0.0,0.0,0.0,0.8498255365138182,-0.25650005120609065,0.0,-0.03111484176913936,0.0,0.0,0.0,0.7864255270272247,0.3154340792953207,0.0,0.0,0.17923524565949905,0.0,0.0,0.0,0.0,0.0,0.0,0.8837310751860407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_8,0.3774971180084343,-0.20115207609442107,0.2550847177725665,0.0,0.0,0.13227400988612922,0.6,0.41166153545055584,0.3944966609942862,0.35154683471784565,0.0,0.0,0.0,-1.2399556779980554,-1.1358102523598652,-0.8656991639996804,0.0,0.5168810166750575,0.537320466646276,0.7721438738771069,0.7580350773904181,0.6355807713658491,-0.23951454033481095,0.0,0.7483493378908407,-0.06953480281891891,0.6923943607719272,-0.04233973602850803,-0.6134239592183516,1.203058241511131,0.0,0.0,-1.6250352351862036,0.0,0.5728933555763519,0.0,0.0,0.0,0.08989737742303303,0.6649207983914471,0.0,0.0,0.5722886398622905,-0.7252105537717499,0.0,-0.6134239592183516,-0.3657657657657656,0.0,0.3940886699507389,0.7341551855105044,-0.21042071955935782,0.0,-0.1836743828913979,0.0,0.0,0.0,0.0,0.0,0.0,-0.3657657657657656,0.0,0.0,0.0,0.0,0.0,0.0,-0.05287508261731664,0.0,-0.56637403125055,1.2588991600581863,0.0,0.0,-0.05287508261731664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1186201010029164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36781609195402276,0.0,0.0,-0.01739791002742156,0.0,0.0,0.0,0.0,0.0,0.0,-1.3180423124514595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08262966070435362,0.0,0.0,0.0,-1.0490782769800837,0.27140726826746053,0.0,-1.0877352694294682,0.0,0.0,0.0,-1.6867569257239854,-0.0228601677725201,0.9572649572649574,0.0,-0.1687877819914549,0.0,0.0,0.0,0.0,0.0,0.0,-0.5980241211188091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
pos_10,0.23676837543229862,-0.21104312085524218,1.0592859266109589,0.0,0.25466349896466406,-0.5173127338950149,-0.4,0.38365939765293894,0.5385346159170359,-0.5165425379547413,0.0,0.0,0.0,-0.9106842317399274,-0.31980641859612075,0.17795666037228497,0.0,0.19425584238080684,0.18897426454524416,0.0,0.2835978774991235,0.12072382340770377,0.6548478569046546,0.0,0.15189780034673123,-0.6064957286483578,0.12569816262855824,0.6794844733607321,-0.4638912489379778,0.5902406116483021,0.0,0.0,-1.0773914871790133,0.0,0.0,2.144118433960581,0.0,0.0,-0.05955150133029264,0.07073352325669516,0.0,0.0,0.08009539354558734,-0.1236004183970276,0.0,-0.4638912489379778,-0.363963963963964,0.0,-0.3940886699507389,0.20297332768233156,-0.39916559240595345,0.0,-0.41340508974716533,0.0,0.0,0.0,0.0,0.0,0.0,-0.363963963963964,0.0,0.0,0.0,0.0,0.0,0.0,0.18241903502974233,0.0,-0.6774316729580871,1.1711698184036414,0.0,0.0,0.18241903502974233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7198520520662921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36781609195402276,0.0,0.0,-0.1750907878159045,0.0,0.0,1.1750119217930375,0.0,0.0,0.0,-0.5956833180780973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2842002862980209,0.0,0.0,0.0,-0.16805311100818285,-1.4194827935045697,0.0,-0.3808790314904072,0.0,0.0,958.4645623990926,-0.8067210955043402,-0.40492312855023854,-0.4786324786324786,0.0,-0.38982729261784627,0.0,0.0,0.0,0.0,0.0,0.0,-0.21800102643058755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
